,corrupted_files
0,/srv/data/twitter_geography/2012/geography_2012_1_01_00.csv.gz
1,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_00.csv.gz
2,/srv/data/twitter_geography/2012/geography_2012_1_01_01.csv.gz
3,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_01.csv.gz
4,/srv/data/twitter_geography/2012/geography_2012_1_01_02.csv.gz
5,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_02.csv.gz
6,/srv/data/twitter_geography/2012/geography_2012_1_01_03.csv.gz
7,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_03.csv.gz
8,/srv/data/twitter_geography/2012/geography_2012_1_01_04.csv.gz
9,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_04.csv.gz
10,/srv/data/twitter_geography/2012/geography_2012_1_01_05.csv.gz
11,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_05.csv.gz
12,/srv/data/twitter_geography/2012/geography_2012_1_01_06.csv.gz
13,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_06.csv.gz
14,/srv/data/twitter_geography/2012/geography_2012_1_01_09.csv.gz
15,/srv/data/twitter_geography/2012/geography_2012_1_01_10.csv.gz
16,/srv/data/twitter_geography/2012/geography_2012_1_01_11.csv.gz
17,/srv/data/twitter_geography/2012/geography_2012_1_01_12.csv.gz
18,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_12.csv.gz
19,/srv/data/twitter_geography/2012/geography_2012_1_02_09.csv.gz
20,/srv/data/twitter_geography/2012/geography_2012_1_02_10.csv.gz
21,/srv/data/twitter_geography/2012/geography_2012_1_02_11.csv.gz
22,/srv/data/twitter_geography/2012/geography_2012_1_03_09.csv.gz
23,/srv/data/twitter_geography/2012/geography_2012_1_03_10.csv.gz
24,/srv/data/twitter_geography/2012/geography_2012_1_04_08.csv.gz
25,/srv/data/twitter_geography/2012/geography_2012_1_04_09.csv.gz
26,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_04_09.csv.gz
27,/srv/data/twitter_geography/2012/geography_2012_1_04_10.csv.gz
28,/srv/data/twitter_geography/2012/geography_2012_1_04_22.csv.gz
29,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_04_22.csv.gz
30,/srv/data/twitter_geography/2012/geography_2012_1_04_23.csv.gz
31,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_04_23.csv.gz
32,/srv/data/twitter_geography/2012/geography_2012_1_05_00.csv.gz
33,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_05_00.csv.gz
34,/srv/data/twitter_geography/2012/geography_2012_1_05_01.csv.gz
35,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_05_01.csv.gz
36,/srv/data/twitter_geography/2012/geography_2012_1_05_08.csv.gz
37,/srv/data/twitter_geography/2012/geography_2012_1_05_09.csv.gz
38,/srv/data/twitter_geography/2012/geography_2012_1_05_10.csv.gz
39,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_05_10.csv.gz
40,/srv/data/twitter_geography/2012/geography_2012_1_06_08.csv.gz
41,/srv/data/twitter_geography/2012/geography_2012_1_06_09.csv.gz
42,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_06_09.csv.gz
43,/srv/data/twitter_geography/2012/geography_2012_1_06_10.csv.gz
44,/srv/data/twitter_geography/2012/geography_2012_1_07_10.csv.gz
45,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_07_10.csv.gz
46,/srv/data/twitter_geography/2012/geography_2012_1_08_09.csv.gz
47,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_08_09.csv.gz
48,/srv/data/twitter_geography/2012/geography_2012_1_08_10.csv.gz
49,/srv/data/twitter_geography/2012/geography_2012_1_09_08.csv.gz
50,/srv/data/twitter_geography/2012/geography_2012_1_09_09.csv.gz
51,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_09_09.csv.gz
52,/srv/data/twitter_geography/2012/geography_2012_1_09_10.csv.gz
53,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_09_10.csv.gz
54,/srv/data/twitter_geography/2012/geography_2012_1_10_08.csv.gz
55,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_10_08.csv.gz
56,/srv/data/twitter_geography/2012/geography_2012_1_10_09.csv.gz
57,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_10_09.csv.gz
58,/srv/data/twitter_geography/2012/geography_2012_1_10_10.csv.gz
59,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_10_10.csv.gz
60,/srv/data/twitter_geography/2012/geography_2012_1_10_11.csv.gz
61,/srv/data/twitter_geography/2012/geography_2012_1_11_08.csv.gz
62,/srv/data/twitter_geography/2012/geography_2012_1_11_09.csv.gz
63,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_11_09.csv.gz
64,/srv/data/twitter_geography/2012/geography_2012_1_11_10.csv.gz
65,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_11_10.csv.gz
66,/srv/data/twitter_geography/2012/geography_2012_1_12_08.csv.gz
