"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"0","الجنة","Paradise","8.5","1.09"
"1","سعادة","HE","8.38","0.9"
"2","الله","God","8.38","1.23"
"3","السعادة","Happiness","8.24","1.17"
"4","الحب","Love","8.18","1"
"5","الضحك","Laughter","8.14","1.11"
"6","حبيبى","Habibi","8.1","1.09"
"7","ضحك","Laughter","8.1","0.97"
"8","لله","God","8.08","1.65"
"9","سعداء","Happy","8.08","1.05"
"10","سعيدا","Happy","8.06","1.13"
"11","احبك","I love you","8.06","1.04"
"12","ناجح","Successful","8.04","0.97"
"13","أضحك","Laugh","8.04","1.05"
"14","حبيبتى","Baby","8.04","0.99"
"15","أمي","Mom","8.04","1.31"
"16","سرور","Pleasure","8.02","1.02"
"17","سعيده","Happy","8.02","1.1"
"18","المضحك","Funny","8","0.95"
"19","امي","Lamy","8","1.29"
"20","الفوز","Win","7.98","0.98"
"21","حبيبتي","Baby","7.98","1.13"
"22","الملائكة","Angels","7.98","1.04"
"23","يضحك","Laughs","7.98","1.08"
"24","مضحكة","Funny","7.98","1.19"
"25","نجحت","Succeeded","7.98","1.25"
"26","بسعادة","Happily","7.96","1.24"
"27","النجاح","Success","7.96","1.12"
"28","العيد","Eid","7.96","1.19"
"29","الزفاف","Wedding","7.96","1.09"
"30","سعيدة","Happy","7.94","1.08"
"31","بالله","God","7.94","1.54"
"32","ماما","Mama","7.94","1.3"
"33","رائع","Wonderful","7.94","1.1"
"34","والدتي","My mother","7.92","1.24"
"35","أمى","Illiterate","7.92","1.38"
"36","نجاح","Success","7.92","1.29"
"37","سعيد","Said","7.9","1.25"
"38","الأم","Mother","7.9","1.15"
"39","حبيب","Habib","7.9","1.05"
"40","تضحك","Laugh","7.88","1.15"
"41","حب","Love","7.88","1.27"
"42","المرح","Fun","7.88","0.96"
"43","مرح","Fun","7.88","1.12"
"44","نجحنا","Succeeded","7.86","1.05"
"45","مضحك","Funny","7.86","1.09"
"46","ممتاز","Excellent","7.84","1.33"
"47","أحبك","I love you","7.84","1.28"
"48","مسرورة","Pleased","7.84","1.04"
"49","رائعة","Great","7.82","1.06"
"50","مبروك","Congratulations","7.82","1.1"
"51","رائعا","Great","7.8","1.03"
"52","تحبنى","Love me","7.8","1.03"
"53","أطفالي","My kids","7.8","1.21"
"54","السعيد","Saeed","7.8","1.03"
"55","بالحب","Love","7.78","1.02"
"56","أصدقائى","My Friends","7.78","1.13"
"57","الجميلة","Fine","7.78","0.97"
"58","حبي","My love","7.78","1.04"
"59","love","love","7.78","1.69"
"60","حبيبي","Habibi","7.76","1.15"
"61","ممتازة","Excellent","7.76","1.02"
"62","الإحتفال","Celebration","7.76","1.04"
"63","بالسعادة","Happy","7.76","1.19"
"64","تحبك","Woven","7.76","1.35"
"65","الحرية","Freedom","7.76","1.2"
"66","متعة","Fun","7.76","1.1"
"67","الأمان","Safety","7.74","1.19"
"68","السعيدة","Happy","7.74","1.47"
"69","الجميلات","Beautiful","7.74","0.99"
"70","أجازة","Vacation","7.72","1.18"
"71","الرائعة","Wonderful","7.72","0.97"
"72","الرب","Lord","7.7","1.34"
"73","ربحت","Won","7.7","1.3"
"74","جميلة","Beautiful","7.7","1.25"
"75","والدتك","Your mother","7.7","1.28"
"76","ممتعة","Fun","7.7","1.18"
"77","رائعون","Wonderful","7.7","1.05"
"78","حبك","Love","7.7","1.42"
"79","الورود","Roses","7.68","1.19"
"80","الاحتفال","Celebration","7.68","1.08"
"81","الام","Mother","7.68","1.81"
"82","يفوز","Wins","7.68","1.06"
"83","ممتع","Fun","7.68","0.91"
"84","ينجح","Succeed","7.68","1.11"
"85","والدى","My father","7.68","1.36"
"86","الفائز","Winner","7.68","1.02"
"87","امى","Lamy","7.66","1.52"
"88","يحبك","Loves","7.66","1.53"
"89","حفلة","Concert","7.66","1.15"
"90","لأمي","For Mom","7.66","1.41"
"91","الصلاة","Prayer","7.66","1.41"
"92","أبي","Dad","7.66","1.39"
