"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"0","verliebt","love","8.14","1.11"
"1","peace","peace","8","1.21"
"2","frieden","peace","7.96","1.35"
"3","humor","humor","7.94","0.89"
"4","liebe","love","7.94","1.46"
"5","wunderschöne","beautiful","7.92","1.44"
"6","glück","happiness","7.92","1.26"
"7","wunderschönen","beautiful","7.9","1.05"
"8","freunde","friends","7.9","1.17"
"9","holiday","holiday","7.9","1.11"
"10","freiheit","freedom","7.88","1.52"
"11","lachen","laughter","7.84","1.42"
"12","lieben","love","7.84","1.58"
"13","urlaub","holiday","7.82","1.29"
"14","perfekt","perfect","7.82","1.35"
"15","glücklich","happy","7.82","1.44"
"16","wunderschön","beautiful","7.8","1.39"
"17","wunderbar","wonderful","7.8","1.25"
"18","love","love","7.8","1.39"
"19","paradise","paradise","7.78","1.3"
"20","freude","pleasure","7.78","1.25"
"21","weihnachtsfest","christmas party","7.78","1.28"
"22","sunshine","sunshine","7.78","1.45"
"23","kiss","kiss","7.76","1.52"
"24","freundschaft","friendship","7.76","1.2"
"25","schönheit","beauty","7.76","1.2"
"26","schönste","beautiful","7.76","1.14"
"27","gesund","healthy","7.74","1.19"
"28","spaß","enjoyment","7.72","1.28"
"29","loves","loves","7.72","1.31"
"30","freund","friend","7.72","1.11"
"31","weihnachtszeit","christmas time","7.7","1.23"
"32","wonderful","wonderful","7.7","1.3"
"33","super","super","7.7","1.34"
"34","happy","happy","7.7","1.61"
"35","freuen","please","7.68","1.11"
"36","weihnachten","Christmas","7.68","1.52"
"37","liebes","dear","7.66","1.14"
"38","geburtstag","birthday","7.66","1.41"
"39","glückwunsch","congratulation","7.66","1.27"
"40","liebt","loves","7.66","1.48"
"41","geschenke","gifts","7.64","1.17"
"42","spass","enjoyment","7.64","1.57"
"43","herrlich","gorgeous","7.64","1.06"
"44","gewinner","winner","7.64","1.26"
"45","herzlich","heartily","7.64","1.1"
"46","kisses","kisses","7.64","1.29"
"47","happiness","happiness","7.62","1.76"
"48","herz","heart","7.62","1.18"
"49","sun","sun","7.62","1.61"
"50","loving","loving","7.6","1.25"
"51","weihnachtsgeschenke","christmas","7.6","1.75"
"52","christmas","christmas","7.6","1.5"
"53","heiligabend","Christmas Eve","7.6","1.68"
"54","erfolg","success","7.58","1.31"
"55","kuscheln","cuddle","7.58","1.51"
"56","schokolade","chocolate","7.58","1.28"
"57","lecker","scrumptious","7.56","1.28"
"58","reisen","travels","7.56","1.31"
"59","weihnachtsstimmung","weihnachtsstimmung","7.56","1.55"
"60","schön","beautiful","7.56","1.21"
"61","sommer","summer","7.56","1.4"
"62","ferien","Holiday","7.56","1.42"
"63","positiv","positive","7.56","1.46"
"64","sonne","sun","7.56","1.63"
"65","harmonie","harmony","7.54","1.16"
"66","positive","positive","7.54","1.07"
"67","lächeln","smile","7.54","1.18"
"68","ausgezeichnet","awarded","7.52","1.18"
"69","blumen","flowers","7.52","1.25"
"70","witzig","witty","7.52","1.13"
"71","friends","friends","7.52","1.34"
"72","holidays","holidays","7.48","1.43"
"73","familie","family","7.48","1.3"
"74","herzlichen","warm","7.48","1.13"
"75","natur","nature","7.48","1.31"
"76","smile","smile","7.48","1.18"
"77","joy","joy","7.48","1.58"
"78","toll","great","7.46","1.39"
"79","bester","Best","7.46","1.25"
"80","feierabend","closing time","7.46","1.42"
"81","schönes","nice","7.46","1.18"
"82","kuchen","cake","7.46","1.16"
"83","traum","dream","7.46","1.23"
"84","laughing","laughing","7.44","1.4"
"85","genial","awesome","7.44","1.43"
"86","hübsch","pretty","7.44","1.15"
"87","vertrauen","trust","7.44","1.16"
"88","freizeit","leisure time","7.44","1.28"
"89","genuss","enjoyment","7.44","1.11"
"90","fröhliche","cheerful","7.44","1.51"
"91","begeisterung","enthusiasm","7.44","1.51"
"92","darling","darling","7.44","1.11"
"93","freue","am","7.44","1.11"
"94","birthday","birthday","7.42","1.72"
"95","leidenschaft","passion","7.42","1.21"
"96","gewinnen","win","7.42","1.53"
"97","geschenk","gift","7.42","1.28"
"98","heimat","home","7.42","1.14"
"99","delicious","delicious","7.42","1.18"
"100","herzen","heart","7.42","1.64"
"101","weihnachtsmann","santa claus","7.42","1.28"
"102","gesundes","healthy","7.42","1.11"
"103","fantastic","fantastic","7.42","1.31"
"104","gewinn","income","7.4","1.31"
"105","loved","loved","7.4","1.29"
"106","weihnachtsgeschenk","christmas","7.4","1.67"
"107","träumen","dream","7.4","1.26"
"108","winner","winner","7.4","1.2"
"109","feiertage","holidays","7.4","1.44"
"110","oma","oma","7.4","1.2"
"111","weihnachtsmarkt","christmas market","7.4","1.93"
"112","lustige","funny","7.4","1.03"
"113","dankeschön","thank-you","7.4","1.36"
"114","wochenende","weekend","7.4","1.59"
"115","lovely","lovely","7.4","1.4"
"116","wahrheit","truth","7.4","1.23"
"117","*smiles","* Smiles","7.38","1.32"
"118","beautiful","beautiful","7.38","1.6"
"119","tolles","great","7.38","1.18"
"120","feiern","commemorate","7.38","1.24"
"121","gerechtigkeit","justice","7.38","1.31"
"122","lustig","funny","7.38","1.43"
"123","erfolgreich","successfully","7.38","1.21"
"124","schatz","treasure","7.38","1.59"
"125","great","great","7.38","1.47"
"126","süße","sweetness","7.38","1.18"
"127","weihnacht","Christmas","7.38","1.66"
"128","fun","fun","7.38","1.56"
"129","zufrieden","satisfied","7.38","1.37"
"130","hochzeit","wedding","7.36","1.34"
"131","ferienhaus","holiday home","7.36","1.16"
"132","süß","sweet","7.36","1.14"
"133","juhu","yay","7.36","1.5"
"134","party","party","7.36","1.24"
"135","lach","lol","7.34","1.27"
"136","funny","funny","7.34","1.55"
"137","family","family","7.34","1.36"
"138","geschenke”","gifts ""","7.34","1.39"
"139","prima","prima","7.34","1.36"
"140","success","success","7.34","1.6"
"141","genießen","enjoy","7.32","1.22"
"142","welcome","welcome","7.32","1.25"
"143","hahahaha","hahahaha","7.32","1.75"
"144","beauty","beauty","7.32","1.22"
"145","wellness","wellness","7.32","1.38"
"146","gesundheit","health","7.32","1.3"
"147","strand","beach","7.32","1.35"
"148","frohes","Happy","7.32","1.1"
"149","gut","good","7.3","1.07"
"150","bestanden","passed","7.3","1.53"
"151","liebsten","favorite","7.3","1.54"
"152","wunder","wonderful","7.3","1.37"
"153","frei","free","7.3","1.39"
"154","freunden","friends","7.3","1.17"
"155","höhepunkt","highlight","7.3","1.28"
"156","froh","happy","7.3","1.52"
"157","pretty","pretty","7.28","1.29"
"158","summer","summer","7.28","1.67"
"159","treue","faithful","7.28","1.34"
"160","smiles","smiles","7.28","1.41"
"161","schenken","give","7.28","1.31"
"162","gewonnen","won","7.28","1.43"
"163","freundin","friend","7.28","1.09"
"164","schönsten","most","7.28","1.26"
"165","schönen","beautiful","7.26","1.35"
"166","weekend","weekend","7.26","1.51"
"167","music","music","7.26","1.37"
"168","adorable","adorable","7.26","1.6"
"169","gerettet","saved","7.26","1.21"
"170","nice","nice","7.26","1.27"
"171","friend","friend","7.26","1.45"
"172","lob","praise","7.26","1.32"
"173","beste","best","7.26","1.32"
"174","engel","angel","7.26","1.71"
"175","friedens","peace","7.26","1.59"
"176","perfect","perfect","7.24","1.42"
"177","lieb","loving","7.24","1.15"
"178","good","good","7.24","1.29"
"179","unabhängigkeit","freedom","7.24","1.24"
"180","träume","dream","7.24","1.3"
"181","partnerschaft","partnership","7.24","1.22"
"182","beliebt","popular","7.24","1.12"
"183","sweet","sweet","7.24","1.25"
"184","gewinne","gains","7.24","1.17"
"185","erfolge","successes","7.24","1.3"
"186","fair","fair","7.22","1.15"
"187","hahaha","hahaha","7.22","1.72"
"188","adventskalender","advent calendar","7.22","1.53"
"189","kostenlos","free","7.22","1.31"
"190","gold","gold","7.22","1.31"
"191","befreiung","relief","7.22","1.04"
"192","*smiles*","* Smiles *","7.22","1.57"
"193","amor","amor","7.22","1.25"
"194","lucky","lucky","7.22","1.39"
"195","chocolate","chocolate","7.22","1.45"
"196","treu","faithful","7.22","1.42"
"197","perfekte","perfect","7.22","1.34"
"198","sieg","victory","7.2","1.68"
"199","hoffnung","hope","7.2","1.11"
"200","dank","thanks","7.2","1.26"
"201","amazing","amazing","7.2","1.41"
"202","romantik","romance","7.2","1.14"
"203","herzens","heart","7.2","1.29"
"204","beliebte","popular","7.2","1.26"
"205","ehrlich","honest","7.2","1.28"
"206","schnäppchen","Bargains","7.2","1.54"
"207","sweetest","sweetest","7.2","1.44"
"208","dreams","dreams","7.2","1.54"
"209","freu","became","7.2","1.31"
"210","danke","thank you","7.2","1.21"
"211","weihnachtsbaum","christmas tree","7.2","1.47"
"212","witz","wit","7.18","1.1"
"213","kekse","biscuits","7.18","1.26"
"214","besten","best","7.18","1.4"
"215","papa","papa","7.18","1.21"
"216","gesunde","healthy","7.18","1.47"
"217","heaven","heaven","7.18","1.47"
"218","mutter","mother","7.18","1.59"
"219","richtig","properly","7.18","1.22"
"220","enjoy","enjoy","7.18","1.4"
"221","ideal","ideal","7.16","1.3"
"222","musik","music","7.16","1.36"
"223","gerne","like","7.16","1.06"
"224","geburt","childbirth","7.16","1.36"
"225","nette","nice","7.16","1.17"
"226","smileys","smileys","7.16","1.54"
"227","gorgeous","Gorgeous","7.16","1.45"
"228","sexy","sexy","7.16","1.11"
"229","laugh","laugh","7.16","1.5"
"230","gutes","good","7.16","1"
"231","luck","luck","7.14","1.36"
"232","pizza","pizza","7.14","1.29"
"233","belohnung","reward","7.14","1.18"
"234","sterne","star","7.14","1.39"
"235","vollkommenheit","perfection","7.14","1.41"
"236","willkommen","welcome","7.14","1.39"
"237","süßen","sweet","7.14","1.14"
"238","familien","family","7.14","1.53"
"239","befreien","free","7.14","1.18"
"240","gewonnenen","obtained","7.12","1.06"
"241","begeistert","enthusiastic","7.12","1.35"
"242","leben","life","7.12","1.32"
"243","comedy","comedy","7.12","1.24"
"244","eltern","parents","7.12","1.38"
"245","befreit","free","7.12","1.19"
"246","beliebteste","most popular","7.12","1.48"
"247","geschenkt","given","7.12","1.12"
"248","schöner","beautiful","7.12","1.36"
"249","gute","good","7.12","1.24"
"250","mother","mother","7.12","1.33"
"251","feuerwerk","fireworks","7.1","1.33"
"252","hobby","hobby","7.1","1.11"
"253","hearts","hearts","7.1","1.37"
"254","hope","hope","7.1","1.18"
"255","welpen","puppies","7.1","1.58"
"256","naturschutz","conservation","7.1","1.39"
"257","free","free","7.1","1.31"
"258","phantasie","imaginative","7.1","1.5"
"259","mama","mama","7.1","1.83"
"260","plätzchen","cookie","7.1","1.53"
"261","cool","cool","7.08","1.14"
"262","spielen","play","7.08","1.14"
"263","kostenfrei","free","7.08","1.54"
"264","awesome","awesome","7.08","1.76"
"265","reise","traveling","7.08","1.34"
"266","konzert","concert","7.08","1.32"
"267","licht","light","7.08","1.12"
"268","toller","great","7.08","1.14"
"269","greatest","greatest","7.08","1.61"
"270","schöne","beautiful","7.08","1.34"
"271","hahahahaha","hahahahaha","7.08","1.88"
"272","kunst","art","7.08","1.44"
"273","meer","sea","7.06","1.45"
"274","intelligenz","intelligence","7.06","1.32"
"275","heiraten","marry","7.06","1.3"
"276","like","like","7.06","1.13"
"277","hihihi","hehehe","7.06","1.67"
"278","anerkennung","recognition","7.06","1.15"
"279","kostenlosen","free","7.06","1.33"
"280","heart","heart","7.06","1.22"
"281","früchte","fruits","7.06","1.28"
"282","dream","Search","7.06","1.24"
"283","inspiration","inspiration","7.06","1"
"284","chillen","chill out","7.06","1.65"
"285","talent","talent","7.06","1.04"
"286","zuhause","home","7.06","1.15"
"287","x-mas","x-mas","7.06","1.75"
"288","xmas","xmas","7.04","1.71"
"289","nett","nice","7.04","1.07"
"290","mom","mom","7.04","1.34"
"291","vacation","vacation","7.04","1.76"
"292","ideen","ideas","7.04","1.19"
"293","girlfriend","girlfriend","7.04","1.51"
"294","einladung","invitation","7.04","1.23"
"295","ferienwohnungen","apartments","7.04","1.26"
"296","reichtum","wealth","7.02","1.5"
"297","freut","would","7.02","1.19"
"298","thanks","thanks","7.02","1.62"
"299","sonderangebote","special offers","7.02","1.19"
"300","win","win","7.02","1.27"
"301","gewann","won","7.02","1.35"
"302","weihnachtsfeier","christmas","7.02","1.71"
"303","best","best","7.02","1.5"
"304","massage","massage","7.02","1.36"
"305","warm","hot","7.02","1.06"
"306","feier","celebration","7.02","1.33"
"307","advent","advent","7.02","1.55"
"308","frisch","fresh","7","1.12"
"309","frohe","Merry","7","1.26"
"310","hochwertige","quality","7","1.05"
"311","positiven","positive","7","1.2"
"312","himmel","sky","7","1.2"
"313","wärme","heat","7","1.11"
"314","mädels","girls","7","1.53"
"315","retten","save","7","1.2"
"316","opa","opa","7","1.29"
"317","panorama","panorama","7","1.25"
"318","vollkommen","completely","6.98","1.33"
"319","lust","loss","6.98","1.12"
"320","fein","fine","6.98","1.1"
"321","mut","courage","6.98","1.39"
"322","chance","Chance","6.98","1.12"
"323","feiert","celebrating","6.98","1.27"
"324","güte","Q","6.98","1.29"
"325","honey","honey","6.98","1.57"
"326","bedankt","thanks","6.98","0.98"
"327","gewinnt","winning","6.98","1.62"
"328","fortschritt","advance","6.96","1.16"
"329","hug","hug","6.96","1.54"
"330","joke","joke","6.96","1.34"
"331","idee","idea","6.96","1.21"
"332","respect","respect","6.96","1.28"
"333","ferienwohnung","holiday home","6.96","1.48"
"334","highlights","highlights","6.96","1.24"
"335","silvester","new year","6.96","1.78"
"336","erfüllung","performance","6.96","1.18"
"337","respekt","respectful","6.96","1.32"
"338","celebrate","celebration","6.96","1.68"
"339","truth","truth","6.96","1.41"
"340","eis","ice","6.94","1.45"
"341","christkind","christkind","6.94","1.95"
"342","nature","nature","6.94","1.49"
"343","fliegen","fly","6.94","1.1"
"344","inseln","islands","6.94","1.35"
"345","tanzen","dance","6.94","1.28"
"346","demokratie","democracy","6.94","1.25"
"347","kindheit","childhood","6.94","1.15"
"348","abenteuer","adventure","6.94","1.48"
"349","hugs","hugs","6.94","1.43"
"350","spiele","games","6.94","1.33"
"351","breakfast","breakfast","6.94","1.25"
"352","hahah","hahah","6.94","1.77"
"353","bücher","books","6.94","1.11"
"354","gesunden","healthy","6.92","1.35"
"355","balkon","balcony","6.92","1.23"
"356","tolle","great","6.92","1.32"
"357","tanz","dance","6.92","1.23"
"358","erfolgreiche","successful","6.92","1.28"
"359","sport","sport","6.92","1.45"
"360","sex","sex","6.92","1.72"
"361","baum","tree","6.92","1.4"
"362","gratis","free","6.92","1.37"
"363","health","health","6.92","1.58"
"364","kostenloser","Free","6.9","1.27"
"365","spannend","exciting","6.9","1.28"
"366","friday","friday","6.9","1.42"
"367","greetings","greetings","6.9","1.47"
"368","glühwein","mulled wine","6.9","1.53"
"369","fitness","fitness","6.9","1.36"
"370","held","hero","6.9","1.37"
"371","cute","cute","6.9","1.61"
"372","schwester","sister","6.9","1.53"
"373","chancen","opportunities","6.9","1.17"
"374","kinder","children","6.9","1.49"
"375","rose","rose","6.88","1.44"
"376","beziehung","relationship","6.88","1.24"
"377","unterhaltung","recreation","6.88","1.29"
"378","besserung","improvement","6.88","1.06"
"379","frühstück","breakfast","6.88","1.41"
"380","flug","flight","6.88","1.19"
"381","spiel","match","6.88","1.14"
"382","berührung","contact","6.88","1.08"
