"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"0","laughter","laughter","8.5","0.93"
"1","happiness","happiness","8.44","0.97"
"2","love","love","8.42","1.11"
"3","happy","happy","8.3","0.99"
"4","laughed","laughed","8.26","1.16"
"5","laugh","laugh","8.22","1.37"
"6","laughing","laughing","8.2","1.11"
"7","excellent","excellent","8.18","1.1"
"8","laughs","laughs","8.18","1.16"
"9","joy","joy","8.16","1.06"
"10","successful","successful","8.16","1.08"
"11","win","win","8.12","1.08"
"12","rainbow","rainbow","8.1","0.99"
"13","smile","smile","8.1","1.02"
"14","won","won","8.1","1.22"
"15","pleasure","pleasure","8.08","0.97"
"16","smiled","smiled","8.08","1.07"
"17","rainbows","rainbows","8.06","1.36"
"18","winning","winning","8.04","1.05"
"19","celebration","celebration","8.02","1.53"
"20","enjoyed","enjoyed","8.02","1.53"
"21","healthy","healthy","8.02","1.06"
"22","music","music","8.02","1.12"
"23","celebrating","celebrating","8","1.14"
"24","congratulations","congratulations","8","1.63"
"25","weekend","weekend","8","1.29"
"26","celebrate","celebrate","7.98","1.15"
"27","comedy","comedy","7.98","1.15"
"28","jokes","jokes","7.98","0.98"
"29","rich","rich","7.98","1.32"
"30","victory","victory","7.98","1.08"
"31","christmas","christmas","7.96","1.29"
"32","free","free","7.96","1.26"
"33","friendship","friendship","7.96","1.12"
"34","fun","fun","7.96","1.31"
"35","holidays","holidays","7.96","1.26"
"36","loved","loved","7.96","1.16"
"37","loves","loves","7.96","1.37"
"38","loving","loving","7.96","1.01"
"39","beach","beach","7.94","1.06"
"40","hahaha","hahaha","7.94","1.56"
"41","kissing","kissing","7.94","1.13"
"42","sunshine","sunshine","7.94","1.17"
"43","beautiful","beautiful","7.92","1.18"
"44","delicious","delicious","7.92","1.26"
"45","friends","friends","7.92","1.19"
"46","funny","funny","7.92","1.05"
"47","outstanding","outstanding","7.92","1.14"
"48","paradise","paradise","7.92","1.4"
"49","sweetest","sweetest","7.92","1.29"
"50","vacation","vacation","7.92","1.9"
"51","butterflies","butterflies","7.92","1.08"
"52","freedom","freedom","7.9","1.42"
"53","flower","flower","7.88","1.17"
"54","great","great","7.88","1.21"
"55","sunlight","sunlight","7.88","1.49"
"56","sweetheart","sweetheart","7.88","1.27"
"57","sweetness","sweetness","7.88","1.19"
"58","award","award","7.86","1.57"
"59","chocolate","chocolate","7.86","1.03"
"60","hahahaha","hahahaha","7.86","1.7"
"61","heaven","heaven","7.86","1.58"
"62","peace","peace","7.86","1.34"
"63","splendid","splendid","7.86","1.46"
"64","success","success","7.86","1.64"
"65","enjoying","enjoying","7.84","1.5"
"66","kissed","kissed","7.84","1.5"
"67","attraction","attraction","7.82","1.02"
"68","celebrated","celebrated","7.8","1.18"
"69","hero","hero","7.8","1.4"
"70","hugs","hugs","7.8","1.44"
"71","positive","positive","7.8","1.25"
"72","sun","sun","7.8","1.36"
"73","birthday","birthday","7.78","1.91"
"74","blessed","blessed","7.78","1.28"
"75","fantastic","fantastic","7.78","1.09"
"76","winner","winner","7.78","1.69"
"77","delight","delight","7.78","1.42"
"78","beauty","beauty","7.76","1.61"
"79","butterfly","butterfly","7.76","1.33"
"80","entertainment","entertainment","7.76","1.22"
"81","funniest","funniest","7.76","1.56"
"82","honesty","honesty","7.76","1.27"
"83","sky","sky","7.76","1.08"
"84","smiles","smiles","7.76","1.79"
"85","succeed","succeed","7.76","1.7"
"86","wonderful","wonderful","7.76","1.79"
"87","glorious","glorious","7.74","1.4"
"88","kisses","kisses","7.74","1.19"
"89","promotion","promotion","7.74","1.38"
"90","family","family","7.72","1.31"
"91","gift","gift","7.72","1.34"
"92","humor","humor","7.72","1.09"
"93","romantic","romantic","7.72","1.2"
"94","cupcakes","cupcakes","7.7","1.23"
"95","festival","festival","7.7","1.07"
"96","hahahahaha","hahahahaha","7.7","1.36"
"97","honour","honour","7.7","1.25"
"98","relax","relax","7.7","1.07"
"99","weekends","weekends","7.7","1.79"
"100","angel","angel","7.68","1.24"
"101","b-day","b-day","7.68","1.53"
"102","bonus","bonus","7.68","1.46"
"103","brilliant","brilliant","7.68","1.62"
"104","diamonds","diamonds","7.68","1.48"
"105","holiday","holiday","7.68","1.3"
"106","lucky","lucky","7.68","1.27"
"107","mother","mother","7.68","1.67"
"108","super","super","7.68","1.6"
"109","amazing","amazing","7.66","1.49"
"110","angels","angels","7.66","1.47"
"111","enjoy","enjoy","7.66","1.47"
"112","friend","friend","7.66","1.51"
"113","friendly","friendly","7.66","1.55"
"114","mother's","mother's","7.66","1.29"
"115","profit","profit","7.66","1.24"
"116","finest","finest","7.66","1.39"
"117","bday","bday","7.64","1.68"
"118","champion","champion","7.64","1.22"
"119","grandmother","grandmother","7.64","1.35"
"120","haha","haha","7.64","1.38"
"121","kiss","kiss","7.64","1.76"
"122","kitten","kitten","7.64","1.29"
"123","miracle","miracle","7.64","1.89"
"124","mom","mom","7.64","1.87"
"125","sweet","sweet","7.64","1.06"
"126","blessings","blessings","7.62","1.63"
"127","bright","bright","7.62","1.14"
"128","cutest","cutest","7.62","1.09"
"129","entertaining","entertaining","7.62","1.09"
"130","excited","excited","7.62","1.4"
"131","excitement","excitement","7.62","1.65"
"132","joke","joke","7.62","1.4"
"133","millionaire","millionaire","7.62","2.13"
"134","prize","prize","7.62","1.21"
"135","succeeded","succeeded","7.62","1.14"
"136","successfully","successfully","7.62","1.26"
"137","winners","winners","7.62","1.54"
"138","shines","shines","7.6","1.59"
"139","awesome","awesome","7.6","1.59"
"140","genius","genius","7.6","1.25"
"141","achievement","achievement","7.58","1.43"
"142","cake","cake","7.58","1.11"
"143","cheers","cheers","7.58","1.47"
"144","exciting","exciting","7.58","1.34"
"145","goodness","goodness","7.58","1.37"
"146","hug","hug","7.58","1.47"
"147","income","income","7.58","1.6"
"148","party","party","7.58","1.46"
"149","puppy","puppy","7.58","1.46"
"150","smiling","smiling","7.58","1.7"
"151","song","song","7.58","1.34"
"152","succeeding","succeeding","7.58","1.34"
"153","tasty","tasty","7.58","1.13"
"154","victories","victories","7.58","1.76"
"155","achieved","achieved","7.56","1.37"
"156","billion","billion","7.56","1.67"
"157","cakes","cakes","7.56","1.46"
"158","easier","easier","7.56","1.15"
"159","flowers","flowers","7.56","1.43"
"160","gifts","gifts","7.56","1.94"
"161","gold","gold","7.56","1.11"
"162","merry","merry","7.56","1.15"
"163","families","families","7.54","1.28"
"164","handsome","handsome","7.54","1.25"
"165","lovers","lovers","7.54","1.28"
"166","affection","affection","7.53","1.53"
"167","candy","candy","7.52","1.49"
"168","cute","cute","7.52","1.2"
"169","diamond","diamond","7.52","1.72"
"170","earnings","earnings","7.52","1.42"
"171","interesting","interesting","7.52","1.18"
"172","peacefully","peacefully","7.52","1.05"
"173","praise","praise","7.52","1.47"
"174","relaxing","relaxing","7.52","1.22"
"175","roses","roses","7.52","1.25"
"176","saturdays","saturdays","7.52","1.73"
"177","faithful","faithful","7.51","1.32"
"178","heavens","heavens","7.51","1.73"
"179","cherish","cherish","7.5","1.47"
"180","comfort","comfort","7.5","1.15"
"181","congrats","congrats","7.5","1.54"
"182","cupcake","cupcake","7.5","1.76"
"183","earn","earn","7.5","1.34"
"184","extraordinary","extraordinary","7.5","1.37"
"185","glory","glory","7.5","1.61"
"186","hilarious","hilarious","7.5","1.98"
"187","moonlight","moonlight","7.5","1.36"
"188","optimistic","optimistic","7.5","1.31"
"189","peaceful","peaceful","7.5","1.09"
"190","romance","romance","7.5","1.43"
"191","feast","feast","7.49","1.65"
"192","attractive","attractive","7.48","0.97"
"193","glad","glad","7.48","1.52"
"194","grandma","grandma","7.48","1.5"
"195","internet","internet","7.48","1.31"
"196","pleasant","pleasant","7.48","1.22"
"197","profits","profits","7.48","1.33"
"198","smart","smart","7.48","1.37"
"199","x-mas","x-mas","7.48","1.82"
"200","babies","babies","7.46","1.5"
"201","cheer","cheer","7.46","1.68"
"202","courage","courage","7.46","1.18"
"203","enthusiasm","enthusiasm","7.46","1.13"
"204","honest","honest","7.46","1.13"
"205","loyal","loyal","7.46","1.25"
"206","opportunities","opportunities","7.46","1.09"
"207","triumph","triumph","7.46","1.83"
"208","wow","wow","7.46","1.45"
"209","jewels","jewels","7.46","1.62"
"210","forests","forests","7.45","1.33"
"211","apple","apple","7.44","1.23"
"212","dreams","dreams","7.44","1.42"
"213","fantasy","fantasy","7.44","1.62"
"214","food","food","7.44","1.21"
"215","honey","honey","7.44","1.59"
"216","miracles","miracles","7.44","1.94"
"217","sex","sex","7.44","1.68"
"218","sing","sing","7.44","1.34"
"219","starlight","starlight","7.44","1.42"
"220","thankful","thankful","7.44","1.5"
"221","wins","wins","7.44","1.26"
"222","achieve","achieve","7.42","1.23"
"223","adored","adored","7.42","1.44"
"224","cash","cash","7.42","1.67"
"225","dances","dances","7.42","1.29"
"226","gorgeous","gorgeous","7.42","1.96"
"227","grandchildren","grandchildren","7.42","1.51"
"228","incredible","incredible","7.42","1.34"
"229","lunch","lunch","7.42","1.09"
"230","mommy","mommy","7.42","1.76"
"231","parties","parties","7.42","1.44"
"232","perfect","perfect","7.42","1.72"
"233","saturday","saturday","7.42","1.72"
"234","surprise","surprise","7.42","1.54"
"235","truth","truth","7.42","1.4"
"236","blessing","blessing","7.4","1.74"
"237","creative","creative","7.4","1.2"
"238","dinner","dinner","7.4","1.14"
"239","kindness","kindness","7.4","1.09"
"240","pleased","pleased","7.4","1.16"
"241","sexy","sexy","7.4","1.23"
"242","strength","strength","7.4","1.16"
"243","thank","thank","7.4","1.12"
"244","thanks","thanks","7.4","1.51"
"245","thanksgiving","thanksgiving","7.4","1.41"
"246","treasure","treasure","7.4","1.71"
"247","valentine","valentine","7.4","1.7"
"248","riches","riches","7.39","1.67"
"249","awarded","awarded","7.38","1.16"
"250","fabulous","fabulous","7.38","1.54"
"251","grandfather","grandfather","7.38","1.43"
"252","heavenly","heavenly","7.38","1.83"
"253","hope","hope","7.38","1.31"
"254","kids","kids","7.38","1.6"
"255","magical","magical","7.38","1.29"
"256","million","million","7.38","1.43"
"257","nice","nice","7.38","1.51"
"258","sundays","sundays","7.38","1.46"
"259","wealth","wealth","7.38","1.23"
"260","fantasies","fantasies","7.36","1.39"
"261","cares","cares","7.36","1.4"
"262","dance","dance","7.36","1.44"
"263","daughters","daughters","7.36","1.22"
"264","favorable","favorable","7.36","1.51"
"265","friend's","friend's","7.36","1.64"
"266","generosity","generosity","7.36","1.27"
"267","grateful","grateful","7.36","1.47"
"268","inspired","inspired","7.36","1.1"
"269","mothers","mothers","7.36","1.47"
"270","parents","parents","7.36","1.51"
"271","valentine's","valentine's","7.36","1.32"
"272","intelligent","intelligent","7.35","1.55"
"273","liberation","liberation","7.35","1.3"
"274","melody","melody","7.35","1.77"
"275","wonderland","wonderland","7.35","1.64"
"276","beloved","beloved","7.34","1.27"
"277","caring","caring","7.34","1.41"
"278","homemade","homemade","7.34","1.24"
"279","inspiring","inspiring","7.34","1.19"
"280","movies","movies","7.34","1.45"
"281","precious","precious","7.34","1.52"
"282","respect","respect","7.34","1.61"
"283","satisfaction","satisfaction","7.34","1.12"
"284","satisfy","satisfy","7.34","1.44"
"285","wedding","wedding","7.34","1.52"
"286","accomplished","accomplished","7.32","1.3"
"287","adorable","adorable","7.32","1.7"
"288","championship","championship","7.32","1.36"
"289","comfortable","comfortable","7.32","1.1"
"290","cuddle","cuddle","7.32","1.73"
"291","games","games","7.32","1.22"
"292","grandson","grandson","7.32","1.48"
"293","life","life","7.32","1.7"
"294","lovely","lovely","7.32","1.54"
"295","pretty","pretty","7.32","1.7"
"296","proud","proud","7.32","1.43"
"297","rose","rose","7.32","1.46"
"298","united","united","7.32","1.2"
"299","fruits","fruits","7.31","1.53"
"300","adventure","adventure","7.3","1.43"
"301","couple","couple","7.3","1.27"
"302","dollars","dollars","7.3","1.46"
"303","eating","eating","7.3","1.78"
"304","fortune","fortune","7.3","1.39"
"305","generous","generous","7.3","1.47"
"306","golden","golden","7.3","1.34"
"307","hahah","hahah","7.3","1.54"
"308","hooray","hooray","7.3","2.07"
"309","intelligence","intelligence","7.3","1.2"
"310","lover","lover","7.3","1.93"
"311","luxury","luxury","7.3","1.68"
"312","money","money","7.3","1.84"
"313","passion","passion","7.3","1.47"
"314","prosperity","prosperity","7.3","1.53"
"315","remarkable","remarkable","7.3","1.33"
"316","sweetie","sweetie","7.3","1.13"
"317","valentines","valentines","7.3","1.78"
"318","educated","educated","7.29","1.31"
"319","gently","gently","7.29","1.27"
"320","baby","baby","7.28","1.85"
"321","books","books","7.28","1.33"
"322","bride","bride","7.28","1.54"
"323","cherished","cherished","7.28","1.58"
"324","cookies","cookies","7.28","1.7"
"325","dessert","dessert","7.28","1.77"
"326","employed","employed","7.28","1.36"
"327","glow","glow","7.28","1.29"
"328","god","god","7.28","1.93"
"329","great-grandchildren","great-grandchildren","7.28","1.7"
"330","helped","helped","7.28","1.29"
"331","independence","independence","7.28","1.59"
"332","likes","likes","7.28","1.54"
"333","luckily","luckily","7.28","1.65"
"334","moon","moon","7.28","1.37"
"335","perfectly","perfectly","7.28","1.59"
"336","satisfied","satisfied","7.28","1.53"
"337","sunday","sunday","7.28","1.92"
"338","juicy","juicy","7.27","1.2"
"339","championships","championships","7.26","1.35"
"340","divine","divine","7.26","1.41"
"341","dreaming","dreaming","7.26","1.26"
"342","foods","foods","7.26","1.48"
"343","fresh","fresh","7.26","1.32"
"344","gladly","gladly","7.26","1.12"
"345","greatest","greatest","7.26","1.52"
"346","hearts","hearts","7.26","1.68"
"347","luck","luck","7.26","1.88"
"348","millions","millions","7.26","1.54"
"349","musicians","musicians","7.26","1.05"
"350","play","play","7.26","1.23"
"351","progress","progress","7.26","1.16"
"352","savings","savings","7.26","1.27"
"353","appreciation","appreciation","7.24","1.47"
"354","bliss","bliss","7.24","1.76"
"355","bloom","bloom","7.24","1.6"
"356","book","book","7.24","1.2"
"357","child","child","7.24","1.56"
"358","companion","companion","7.24","1.38"
"359","computer","computer","7.24","1.39"
"360","gardens","gardens","7.24","1.35"
"361","gentle","gentle","7.24","0.98"
"362","hahahah","hahahah","7.24","2.04"
"363","helpful","helpful","7.24","1.24"
"364","impressed","impressed","7.24","1.04"
"365","kind","kind","7.24","1.39"
"366","knowledge","knowledge","7.24","1.46"
"367","liberty","liberty","7.24","1.27"
"368","mama","mama","7.24","1.76"
"369","nature","nature","7.24","1.8"
"370","pal","pal","7.24","1.27"
"371","passionate","passionate","7.24","1.08"
"372","promoted","promoted","7.24","1.49"
"373","reward","reward","7.24","1.89"
"374","warmth","warmth","7.24","1.65"
"375","xmas","xmas","7.24","2.1"
"376","danced","danced","7.22","1.21"
"377","amazed","amazed","7.22","1.87"
"378","appreciate","appreciate","7.22","1.18"
"379","brother","brother","7.22","1.23"
"380","confidence","confidence","7.22","1.28"
"381","darling","darling","7.22","1.31"
"382","encouraging","encouraging","7.22","1.56"
"383","energy","energy","7.22","1.3"
"384","films","films","7.22","1.28"
"385","garden","garden","7.22","1.18"
"386","graduated","graduated","7.22","1.27"
"387","guitar","guitar","7.22","1.47"
"388","health","health","7.22","1.25"
"389","heart","heart","7.22","1.43"
"390","honor","honor","7.22","1.2"
"391","like","like","7.22","1.22"
"392","musical","musical","7.22","1.56"
"393","pets","pets","7.22","1.53"
"394","relaxed","relaxed","7.22","1.06"
"395","salary","salary","7.22","1.34"
"396","star","star","7.22","1.58"
"397","sweeter","sweeter","7.22","1.11"
"398","trust","trust","7.22","1.23"
"399","yummy","yummy","7.22","1.79"
"400","ecstasy","ecstasy","7.2","1.73"
"401","eternal","eternal","7.2","1.53"
"402","approved","approved","7.2","1.5"
"403","benefits","benefits","7.2","1.05"
"404","cartoon","cartoon","7.2","1.44"
"405","comforted","comforted","7.2","1.44"
"406","cool","cool","7.2","1.34"
"407","discount","discount","7.2","1.29"
"408","good","good","7.2","1.46"
"409","google","google","7.2","1.31"
"410","ladies","ladies","7.2","1.47"
"411","libraries","libraries","7.2","1.25"
"412","luv","luv","7.2","1.84"
"413","perfection","perfection","7.2","1.63"
"414","presents","presents","7.2","1.46"
"415","prizes","prizes","7.2","2.03"
"416","special","special","7.2","1.2"
"417","wishes","wishes","7.2","1.21"
"418","alive","alive","7.18","1.29"
"419","awards","awards","7.18","1.21"
"420","bed","bed","7.18","1.29"
"421","best","best","7.18","1.69"
"422","coffee","coffee","7.18","1.48"
"423","comfy","comfy","7.18","1.22"
"424","fiesta","fiesta","7.18","1.77"
"425","genuine","genuine","7.18","1.38"
"426","helping","helping","7.18","1.64"
"427","imagine","imagine","7.18","1.1"
"428","leisure","leisure","7.18","1.7"
"429","meal","meal","7.18","1.47"
"430","promise","promise","7.18","1.19"
"431","respected","respected","7.18","1.02"
"432","rest","rest","7.18","1.26"
"433","travel","travel","7.18","1.42"
"434","abundant","abundant","7.16","1.65"
"435","attracted","attracted","7.16","1.17"
"436","devoted","devoted","7.16","1.36"
"437","favourite","favourite","7.16","1.36"
"438","granddaughter","granddaughter","7.16","1.69"
"439","heroes","heroes","7.16","1.57"
"440","ideas","ideas","7.16","1.28"
"441","liked","liked","7.16","0.91"
"442","oceans","oceans","7.16","1.62"
"443","pizza","pizza","7.16","1.33"
"444","skies","skies","7.16","1.35"
"445","sleep","sleep","7.16","1.71"
"446","spring","spring","7.16","1.43"
"447","sunset","sunset","7.16","2.11"
"448","welcome","welcome","7.16","1.31"
"449","1st","1st","7.14","1.7"
"450","adoring","adoring","7.14","1.69"
"451","brighter","brighter","7.14","1.32"
"452","children's","children's","7.14","1.51"
"453","cure","cure","7.14","1.51"
"454","fireworks","fireworks","7.14","1.48"
"455","home","home","7.14","1.83"
"456","honored","honored","7.14","1.28"
"457","journey","journey","7.14","1.51"
"458","lovin","lovin","7.14","1.97"
"459","opportunity","opportunity","7.14","1.71"
"460","paid","paid","7.14","1.71"
"461","parks","parks","7.14","1.57"
"462","playing","playing","7.14","1.47"
"463","shine","shine","7.14","1.71"
"464","strawberry","strawberry","7.14","1.41"
"465","summertime","summertime","7.14","2.22"
"466","wealthy","wealthy","7.14","1.75"
"467","appreciated","appreciated","7.12","1.51"
"468","artistic","artistic","7.12","1.24"
"469","birth","birth","7.12","1.61"
"470","children","children","7.12","1.35"
"471","fruit","fruit","7.12","1.52"
"472","inspire","inspire","7.12","1.48"
"473","juice","juice","7.12","1.08"
"474","laptop","laptop","7.12","1.35"
"475","partners","partners","7.12","1.44"
"476","son","son","7.12","1.81"
"477","stronger","stronger","7.12","1.08"
"478","superman","superman","7.12","1.72"
"479","tree","tree","7.12","1.32"
"480","valuable","valuable","7.12","1.12"
"481","woman's","woman's","7.12","1.35"
"482","women","women","7.12","1.47"
"483","glowing","glowing","7.1","1.43"
"484","admiration","admiration","7.1","1.46"
"485","carnival","carnival","7.1","1.76"
"486","computers","computers","7.1","1.28"
"487","confident","confident","7.1","1.18"
"488","cookie","cookie","7.1","1.3"
"489","cutie","cutie","7.1","1.31"
"490","dearest","dearest","7.1","1.28"
"491","dream","dream","7.1","1.96"
"492","freely","freely","7.1","1.37"
"493","fridays","fridays","7.1","1.46"
"494","plants","plants","7.1","1.3"
"495","quality","quality","7.1","1.42"
"496","rabbit","rabbit","7.1","1.22"
"497","resort","resort","7.1","1.45"
"498","shopping","shopping","7.1","1.54"
"499","sincere","sincere","7.1","1.04"
"500","snack","snack","7.1","1.57"
"501","stars","stars","7.1","1.54"
"502","toys","toys","7.1","1.66"
"503","useful","useful","7.1","1.2"
"504","wise","wise","7.1","1.27"
"505","yum","yum","7.1","1.49"
"506","desirable","desirable","7.08","1.66"
"507","sparkle","sparkle","7.08","1.62"
"508","bless","bless","7.08","1.97"
"509","comic","comic","7.08","1.56"
"510","cooking","cooking","7.08","1.29"
"511","dancing","dancing","7.08","1.61"
"512","earned","earned","7.08","1.18"
"513","equality","equality","7.08","1.83"
"514","faith","faith","7.08","1.44"
"515","graduate","graduate","7.08","1.24"
"516","improvements","improvements","7.08","1.41"
"517","memories","memories","7.08","1.19"
"518","park","park","7.08","1.35"
"519","pet","pet","7.08","1.7"
"520","powerful","powerful","7.08","1.54"
"521","princess","princess","7.08","1.58"
"522","qualities","qualities","7.08","1.16"
"523","thrill","thrill","7.08","1.56"
"524","true","true","7.08","1.1"
"525","wonder","wonder","7.08","1.31"
"526","everlasting","everlasting","7.06","1.39"
"527","mamma","mamma","7.06","1.7"
"528","caress","caress","7.06","1.72"
"529","charm","charm","7.06","1.42"
"530","clever","clever","7.06","1.35"
"531","father","father","7.06","1.74"
"532","grand","grand","7.06","1.36"
"533","hehehe","hehehe","7.06","1.66"
"534","idea","idea","7.06","1.28"
"535","pearl","pearl","7.06","1.42"
"536","pictures","pictures","7.06","1.32"
"537","restaurant","restaurant","7.06","1.25"
"538","sandwich","sandwich","7.06","1.38"
"539","sharing","sharing","7.06","1.28"
"540","strong","strong","7.06","1.52"
"541","talent","talent","7.06","0.98"
"542","talented","talented","7.06","1.53"
"543","tenderness","tenderness","7.06","1.27"
"544","weddings","weddings","7.06","1.66"
"545","dove","dove","7.04","1.44"
"546","awsome","awsome","7.04","1.8"
"547","cherry","cherry","7.04","1.46"
"548","daughter","daughter","7.04","1.81"
"549","eat","eat","7.04","1.46"
"550","favorite","favorite","7.04","1.65"
"551","girlfriend","girlfriend","7.04","1.63"
"552","hoping","hoping","7.04","1.14"
"553","impressive","impressive","7.04","1.03"
"554","loyalty","loyalty","7.04","1.77"
"555","parent","parent","7.04","1.29"
"556","relationship","relationship","7.04","1.29"
"557","safe","safe","7.04","1.62"
"558","scholarship","scholarship","7.04","1.65"
"559","shining","shining","7.04","1.76"
"560","sunrise","sunrise","7.04","1.8"
"561","yoga","yoga","7.04","1.59"
"562","respects","respects","7.02","1.62"
"563","fairy","fairy","7.02","1.48"
"564","humanity","humanity","7.02","1.63"
"565","productivity","productivity","7.02","1.31"
"566","brave","brave","7.02","1.29"
"567","colours","colours","7.02","1.38"
"568","correct","correct","7.02","1.49"
"569","dad","dad","7.02","2.12"
"570","daddy","daddy","7.02","1.72"
"571","dollar","dollar","7.02","1.52"
"572","easily","easily","7.02","1.63"
"573","fans","fans","7.02","1.25"
"574","goal","goal","7.02","1.22"
"575","hawaii","hawaii","7.02","1.68"
"576","honestly","honestly","7.02","1.57"
"577","inspiration","inspiration","7.02","1.45"
"578","olympics","olympics","7.02","1.35"
"579","saints","saints","7.02","1.72"
"580","sleeping","sleeping","7.02","1.67"
"581","wisdom","wisdom","7.02","1.56"
"582","believed","believed","7","1.28"
"583","better","better","7","1.28"
"584","color","color","7","1.37"
"585","colors","colors","7","1.75"
"586","dad's","dad's","7","1.39"
"587","determination","determination","7","1.41"
"588","discovered","discovered","7","1.25"
"589","gentlemen","gentlemen","7","1.43"
"590","girl","girl","7","1.16"
"591","harmony","harmony","7","1.44"
"592","hello","hello","7","1.51"
"593","hopes","hopes","7","1.55"
"594","noble","noble","7","1.6"
"595","praised","praised","7","1.39"
"596","reliable","reliable","7","1.48"
"597","trip","trip","7","1.55"
"598","agreed","agreed","6.98","1.3"
"599","approval","approval","6.98","1.2"
"600","brothers","brothers","6.98","1.45"
"601","concerts","concerts","6.98","1.55"
"602","cooperation","cooperation","6.98","1.38"
"603","encouraged","encouraged","6.98","1.24"
"604","giving","giving","6.98","1.15"
"605","goals","goals","6.98","1.2"
"606","ideal","ideal","6.98","1.71"
"607","intellectual","intellectual","6.98","1.29"
"608","invitation","invitation","6.98","1.33"
"609","marry","marry","6.98","1.87"
"610","musician","musician","6.98","1.24"
"611","outdoors","outdoors","6.98","1.7"
"612","photography","photography","6.98","1.49"
"613","plenty","plenty","6.98","1.22"
"614","rome","rome","6.98","1.42"
"615","trees","trees","6.98","1.6"
"616","trips","trips","6.98","1.32"
"617","unique","unique","6.98","1.44"
"618","wildlife","wildlife","6.98","1.68"
"619","lullaby","lullaby","6.98","1.93"
"620","thrills","thrills","6.98","1.33"
"621","abroad","abroad","6.96","1.23"
"622","bath","bath","6.96","1.26"
"623","benefit","benefit","6.96","1.31"
"624","birds","birds","6.96","1.43"
"625","dads","dads","6.96","1.47"
"626","elegant","elegant","6.96","1.93"
"627","eternally","eternally","6.96","1.71"
"628","fair","fair","6.96","1.26"
"629","fancy","fancy","6.96","1.37"
"630","great-grandfather","great-grandfather","6.96","1.73"
"631","imagination","imagination","6.96","1.35"
"632","improving","improving","6.96","0.88"
"633","mountains","mountains","6.96","1.19"
"634","ocean","ocean","6.96","1.71"
"635","pancakes","pancakes","6.96","1.21"
"636","photograph","photograph","6.96","1.56"
"637","praying","praying","6.96","1.75"
"638","present","present","6.96","1.28"
"639","reunion","reunion","6.96","1.63"
"640","safely","safely","6.96","1.46"
"641","saving","saving","6.96","1.26"
"642","singing","singing","6.96","1.7"
"643","songs","songs","6.96","1.87"
"644","sunny","sunny","6.96","2.09"
"645","terrific","terrific","6.96","2.08"
"646","theater","theater","6.96","1.55"
