"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"0","amor","love","8.68","0.71"
"1","felicidad","happiness","8.6","0.83"
"2","felicidades","congratulations","8.48","0.74"
"3","paz","peace","8.42","0.88"
"4","jajajajajajajajaja","jajajajajajajajaja","8.42","1.03"
"5","amar","love","8.38","0.95"
"6","sonreir","smile","8.38","0.95"
"7","beso","kiss","8.36","0.72"
"8","éxito","success","8.34","0.87"
"9","felíz","happy","8.34","0.96"
"10","jajajajajajajajajaja","jajajajajajajajajaj","8.34","1.14"
"11","¡feliz","Happy","8.34","1.14"
"12","alegria","joy","8.34","1"
"13","enamoré","fell","8.32","0.87"
"14","jajajajajajaja","jajajajajajaja","8.32","1.1"
"15","sonrisas","smiles","8.28","0.86"
"16","sonrisa","smile","8.28","0.97"
"17","jajajajajajajaj","jajajajajajajaj","8.28","1.07"
"18","jajajajajajajaja","jajajajajajajaja","8.28","1.18"
"19","enamorarse","fall in love","8.28","1.03"
"20","jajajajajajajajajajaja","jajajajajajajajajajaja","8.26","1.38"
"21","jajajajaja","hahaha","8.26","1.19"
"22","love","love","8.26","0.99"
"23","friends","friends","8.26","0.99"
"24","sonríe","smiles","8.26","0.9"
"25","maravillosa","wonderful","8.24","0.87"
"26","besos","kisses","8.24","1.08"
"27","vacaciones","vacation","8.24","0.98"
"28","enamorarme","fall in love","8.24","0.98"
"29","Éxito","Success","8.24","1.02"
"30","enamorados","love","8.22","0.93"
"31","festejar","celebrate","8.22","0.86"
"32","felices","happy","8.22","1.04"
"33","méxico","Mexico","8.22","1.2"
"34","happy","happy","8.22","1.02"
"35","alegría","joy","8.22","1.07"
"36","besotes","besotes","8.22","0.74"
"37","vida","life","8.22","1.07"
"38","excelente","excellent","8.2","0.97"
"39","happiness","happiness","8.2","1.12"
"40","hermosa","beautiful","8.2","0.93"
"41","jajajjajaja","jajajjajaja","8.2","1.4"
"42","besote","besote","8.2","1.23"
"43","musica","music","8.2","1.09"
"44","mamá","mom","8.2","1.07"
"45","abrazote","HUG","8.18","0.94"
"46","enamorada","love","8.18","1.21"
"47","divertido","funny","8.18","0.92"
"48","enamorado","in love","8.18","1.06"
"49","felicitaciones","congratulations","8.18","0.92"
"50","placer","pleasure","8.16","1.08"
"51","buenisimo","buenisimo","8.16","0.79"
"52","feliiiz","feliiiz","8.16","1.56"
"53","vivir","live","8.16","1.23"
"54","amamos","love","8.16","1.08"
"55","congratulations","congratulations","8.16","1.06"
"56","música","music","8.16","0.96"
"57","amarte","love","8.16","1.17"
"58","libre","free","8.14","1.12"
"59","triunfo","triumph","8.14","1.16"
"60","risa","laughter","8.14","0.97"
"61","amo","owner","8.14","1.2"
"62","jajajajjaja","jajajajjaja","8.14","1.11"
"63","abrazos","Hugs","8.14","1.07"
"64","risas","laughter","8.14","0.9"
"65","¡¡feliz","Happy","8.14","1.55"
"66","madre","mother","8.14","1.32"
"67","sonreír","smile","8.12","0.96"
"68","feliiz","feliiz","8.12","1.33"
"69","excelentes","excellent","8.12","1.06"
"70","navidad","Christmas","8.12","1.27"
"71","felizzzz","felizzzz","8.12","1.24"
"72","playa","beach","8.12","1.02"
"73","alegre","cheerful","8.1","1.07"
"74","prosperidad","prosperity","8.1","0.93"
"75","amooor","amooor","8.1","1.62"
"76","ajajajaja","ajajajaja","8.1","1.43"
"77","aman","love","8.08","1.08"
"78","bella","beauty","8.08","0.9"
"79","hermosas","beautiful","8.08","0.97"
"80","jajajajajaj","jajajajajaj","8.08","1.24"
"81","feliz","happy","8.08","1.18"
"82","alegrías","joys","8.08","1.28"
"83","maravilloso","wonderful","8.06","1.1"
"84","inteligente","intelligent","8.06","1.02"
"85","confianza","confidence","8.06","1.06"
"86","contento","happy","8.04","1.05"
"87","ríe","laughs","8.04","1.16"
"88","sabiduría","wisdom","8.04","1.14"
"89","amigos","people","8.04","1.16"
"90","abrazar","embrace","8.04","0.83"
"91","preciosa","beautiful","8.04","1.18"
"92","riendo","laughing","8.04","0.97"
"93","mexico","mexico","8.04","1.29"
"94","jajajajajaa","jajajajajaa","8.02","1.6"
"95","enamoro","fall in love","8.02","1"
"96","sorpresa","surprise","8.02","1.12"
"97","hermosos","beautiful","8.02","0.94"
"98","regalo","gift","8.02","0.82"
"99","besarte","kiss","8.02","1.24"
"100","imaginación","imagination","8.02","0.96"
"101","festejando","celebrating","8.02","0.94"
"102","besa","kisses","8.02","1"
"103","kisses","kisses","8.02","1.04"
"104","jajajajajaja","hahahahahaha","8","1.28"
"105","corazón","heart","8","0.95"
"106","playita","playita","8","1.12"
"107","playas","beaches","8","1.03"
"108","amoor","amoor","8","1.55"
"109","felizz","felizz","8","1.46"
"110","celebración","celebration","8","1.03"
"111","amo♥","love ♥","8","1.7"
"112","bellas","beautiful","8","1.11"
"113","guapa","lovely","8","0.99"
"114","gratis","free","8","1.11"
"115","party","party","8","0.99"
"116","beautiful","beautiful","7.98","1.04"
"117","amistades","friends","7.98","0.91"
"118","jajajaa","jajajaa","7.98","1.19"
"119","amigo","friend","7.98","1.15"
"120","abrazo","hug","7.98","0.98"
"121","hermoso","beautiful","7.98","0.94"
"122","pelicula","movie","7.98","1.02"
"123","smile","smile","7.98","1.27"
"124","familia","family","7.98","1.12"
"125","reír","laugh","7.96","1.26"
"126","amistad","friendship","7.96","1.12"
"127","besar","kiss","7.96","1.32"
"128","libertad","freedom","7.96","1.38"
"129","abuela","grandmother","7.96","1.05"
"130","christmas","christmas","7.96","1.31"
"131","beach","beach","7.94","1.11"
"132","jajaja","lol","7.94","1.02"
"133","delicious","delicious","7.94","1.04"
"134","gracias","thanks","7.94","1.02"
"135","regalos","gifts","7.94","1.13"
"136","enamoran","fast","7.94","1.22"
"137","jajajajajajaj","jajajajajajaj","7.94","1.41"
"138","gozar","enjoy","7.94","1"
"139","enamorar","love","7.94","1.1"
"140","jajajaja","lol","7.92","1.05"
"141","besitos","kisses","7.92","0.92"
"142","celebrar","celebrate","7.92","1.1"
"143","maravilla","wonder","7.92","1.24"
"144","paradise","paradise","7.92","1.23"
"145","bello","beautiful","7.92","1.14"
"146","delicioso","delicious","7.92","0.92"
"147","besito","kiss","7.92","1.21"
"148","rie","rie","7.92","1.31"
"149","jajajajaa","jajajajaa","7.92","1.6"
"150","abuelita","granny","7.92","1.24"
"151","reir","laugh","7.92","1.38"
"152","enamore","fall in love","7.92","1.07"
"153","gratuito","free","7.9","1.07"
"154","amores","loves","7.9","1.07"
"155","mami","Mommy","7.9","1.11"
"156","divertida","fun","7.9","1.05"
"157","fortuna","fortune","7.9","1.11"
"158","naturaleza","nature","7.9","1.17"
"159","dreams","dreams","7.9","0.93"
"160","amado","beloved","7.9","1.13"
"161","papá","dad","7.9","1.36"
"162","inspiration","inspiration","7.9","1.13"
"163","espectacular","spectacular","7.9","1.09"
"164","peliculas","Movies","7.9","1.18"
"165","amiga","female friend","7.9","1.04"
"166","triunfos","triumphs","7.88","1.1"
"167","pizza","pizza","7.88","1.33"
"168","ganar","win","7.88","1.12"
"169","kiss","kiss","7.88","1.51"
"170","bonito","nice","7.88","1.02"
"171","creatividad","creativity","7.88","1"
"172","belleza","beauty","7.88","1.22"
"173","postre","dessert","7.88","1.19"
"174","perfect","perfect","7.86","1.39"
"175","Éxitos","Successes","7.86","1.25"
"176","amooooo","amooooo","7.86","1.86"
"177","gracioso","funny","7.86","1.11"
"178","cine","cinema","7.86","1.03"
"179","sano","healthy","7.86","1.16"
"180","peace","peace","7.86","1.31"
"181","cariño","affection","7.86","0.99"
"182","película","movie","7.86","1.14"
"183","felicitar","congratulate","7.86","1.09"
"184","oro","gold","7.86","1.03"
"185","¡gracias","Thank you","7.86","1.53"
"186","abuelos","grandparents","7.86","1.07"
"187","fiesta","party","7.86","1.14"
"188","linda","cute","7.86","1.09"
"189","chocolate","chocolate","7.86","1.25"
"190","bonitas","beautiful","7.86","1.2"
"191","teamo","gor","7.84","1.68"
"192","music","music","7.84","1.31"
"193","amore","amore","7.84","1.36"
"194","bondad","goodness","7.84","1.2"
"195","loves","loves","7.84","1.2"
"196","free","free","7.84","1.3"
"197","ganancias","earnings","7.82","1.1"
"198","birthday","birthday","7.82","1.26"
"199","good","good","7.82","1.06"
"200","enamora","love","7.82","1.14"
"201","contenta","happy","7.82","1.17"
"202","jajajajaj","hahaha","7.82","1.53"
"203","ganador","winner","7.82","1.24"
"204","sana","healthy","7.82","1.19"
"205","optimismo","optimism","7.82","1.29"
"206","internet","Internet","7.82","1.17"
"207","gratitud","gratitude","7.82","1.06"
"208","exitoso","successful","7.82","1.44"
"209","canciones","Songs","7.82","1"
"210","novios","boyfriends","7.82","1.27"
"211","estrella","star","7.8","1.18"
"212","viernes","Friday","7.8","1.36"
"213","fiestas","parties","7.8","1.34"
"214","aventura","adventure","7.8","1.28"
"215","jajajaaja","jajajaaja","7.8","1.59"
"216","cumpleaños","birthday","7.8","1.31"
"217","ajajajaj","ajajajaj","7.8","1.4"
"218","flores","flowers","7.8","0.93"
"219","felizzz","felizzz","7.8","2.06"
"220","amooo","amooo","7.8","1.62"
"221","amoooo","amoooo","7.8","1.64"
"222","campeón","champion","7.8","1.32"
"223","mar","sea","7.8","1.07"
"224","chistes","jokes","7.8","1.18"
"225","grandeza","greatness","7.8","1.01"
"226","novia","bride","7.8","1.2"
"227","poesía","poetry","7.78","1.04"
"228","hahahaha","hahahaha","7.78","1.34"
"229","campeon","champion","7.78","1.22"
"230","precioso","beautiful","7.78","1.18"
"231","jajajajajja","jajajajajja","7.78","1.83"
"232","mexicano","Mexican","7.78","1.33"
"233","genial","brilliant","7.78","1"
"234","concierto","concert","7.78","1.11"
"235","hermanos","brethren","7.78","1.06"
"236","sueños","dreams","7.78","1.42"
"237","bonita","nice","7.78","1.18"
"238","miamor","miamor","7.78","1.59"
"239","solidaridad","solidarity","7.78","1.23"
"240","viajar","travel","7.78","1.33"
"241","ajajaja","ajajaja","7.78","1.4"
"242","simpatía","sympathy","7.78","1"
"243","disfrutar","enjoy","7.78","1.11"
"244","bailar","dance","7.76","1.25"
"245","pretty","pretty","7.76","1.25"
"246","juguetes","toys","7.76","1.02"
"247","tranquilidad","tranquility","7.76","1.17"
"248","festejos","celebrations","7.76","1.2"
"249","positiva","positive","7.76","1.08"
"250","soñar","dream","7.76","1.27"
"251","fun","fun","7.76","1.62"
"252","sexy","sexy","7.76","1.33"
"253","guapo","handsome","7.76","1.3"
"254","jajjajaja","jajjajaja","7.76","1.99"
"255","mama","mamma","7.76","1.46"
"256","riqueza","wealth","7.76","1.48"
"257","viajes","travel","7.74","1.21"
"258","universo","universe","7.74","1.17"
"259","luna","moon","7.74","1.27"
"260","perfecto","perfect","7.74","1.61"
"261","comida","food","7.74","1.31"
"262","dulces","confectionery","7.74","1.19"
"263","satisfacción","satisfaction","7.74","1.16"
"264","películas","movies","7.74","1.21"
"265","taco","wad","7.74","1.26"
"266","jajajaj","jajajaj","7.74","1.47"
"267","libertades","freedoms","7.74","1.05"
"268","piñata","piñata","7.74","1.12"
"269","volar","fly","7.74","1.17"
"270","sabado","Saturday","7.72","1.09"
"271","rock","rock","7.72","1.36"
"272","juventud","youth","7.72","1.16"
"273","graciaas","graciaas","7.72","1.16"
"274","friend","friend","7.72","1.16"
"275","sorpresas","surprises","7.72","1.2"
"276","valiente","brave","7.72","1.2"
"277","reí","laughed","7.72","1.34"
"278","ajaja","Spoonbill","7.72","1.34"
"279","gratuitos","Free","7.72","1.16"
"280","best","best","7.72","1.21"
"281","premios","awards","7.72","1.05"
"282","perfecta","perfect","7.72","1.13"
"283","armonía","harmony","7.72","1.05"
"284","premium","premium","7.72","1.14"
"285","geniales","great","7.72","1.31"
"286","lindo","cute","7.72","1.07"
"287","comedia","comedy","7.7","0.99"
"288","papás","Dads","7.7","1.33"
"289","bienvenido","welcome","7.7","1.18"
"290","lindas","cute","7.7","1.05"
"291","alegrias","joys","7.7","1.52"
"292","amoo","amoo","7.7","1.28"
"293","jajaaja","jajaaja","7.7","1.33"
"294","positivas","positive","7.7","1.15"
"295","poema","poem","7.7","1.13"
"296","gloria","glory","7.7","1.27"
"297","cena","dinner","7.7","1.11"
"298","excelencia","excellence","7.7","1.61"
"299","virtud","virtue","7.7","0.99"
"300","juegos","games","7.68","1.02"
"301","logro","achievement","7.68","1.43"
"302","jajajja","jajajja","7.68","1.28"
"303","héroes","Heroes","7.68","1.3"
"304","chiste","joke","7.68","1.17"
"305","positivo","positive","7.68","1.38"
"306","familias","families","7.68","1.06"
"307","exito","success","7.68","1.79"
"308","hermano","brother","7.68","1.35"
"309","premio","award","7.68","1.45"
"310","tacos","taco","7.68","1.42"
"311","baile","dance","7.68","1.11"
