"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"0","bonheur","happiness","8.38","0.92"
"1","heureux","happy","8.34","0.8"
"2","amour","love","8.34","0.89"
"3","amoureux","lover","8.3","0.91"
"4","vacances","holiday","8.16","0.87"
"5","aimer","love","8.14","1.03"
"6","soleil","sun","8.12","1.14"
"7","magnifiques","beautiful","8.12","0.96"
"8","l'amour","love","8.08","1.05"
"9","joyeux","happy","8.06","1.02"
"10","paix","Peace","8.06","1.1"
"11","love","love","8.06","1.08"
"12","amoureuse","in love","8.04","1.03"
"13","heureuse","happy","8.04","1.03"
"14","excellente","excellent","8.04","1.05"
"15","rire","laugh","8.02","1"
"16","merveilleux","wonderful","8","1.12"
"17","amours","love","7.98","1.1"
"18","magnifique","wonderful","7.96","1.01"
"19","humour","humor","7.96","0.95"
"20","plaisir","pleasure","7.96","0.95"
"21","bisous","kisses","7.94","1.17"
"22","félicitations","congratulations","7.92","1.07"
"23","happiness","happiness","7.9","1.3"
"24","joie","joy","7.9","1.23"
"25","paradis","paradise","7.9","1.27"
"26","j'adore","I love","7.9","1.07"
"27","sublime","sublime","7.88","0.92"
"28","t'aime","love you","7.86","1.21"
"29","happy","happy","7.86","1.01"
"30","excellence","Excellence","7.86","1.18"
"31","rigoler","laugh","7.84","1.02"
"32","joyeuses","happy","7.84","1.02"
"33","holidays","holidays","7.84","1.06"
"34","excellent","fine","7.84","1.2"
"35","j'aime","I love","7.84","1.09"
"36","plage","beach","7.84","1.06"
"37","cadeaux","gifts","7.82","0.94"
"38","sourire","smile","7.82","0.94"
"39","plaisirs","pleasure","7.8","0.88"
"40","genial","genial","7.8","1.14"
"41","rêver","dream","7.8","1.11"
"42","amies","friends","7.8","0.93"
"43","triomphe","triumph","7.8","1.2"
"44","trésor","treasure","7.78","1.18"
"45","superbe","beautiful","7.78","1.07"
"46","voyages","traveling","7.76","1.2"
"47","tendresse","tenderness","7.76","1.17"
"48","voyager","travel","7.76","1.29"
"49","belle","beautiful","7.76","1.06"
"50","chéri","honey","7.74","1.24"
"51","reve","dream","7.74","1.05"
"52","génial","awesome","7.74","1.07"
"53","extraordinaires","Extraordinary","7.74","1.08"
"54","fête","celebration","7.74","1.1"
"55","rêve","dream","7.72","1.01"
"56","aime","love","7.72","1.01"
"57","adorable","lovely","7.72","0.93"
"58","fantastique","fantastic","7.72","0.97"
"59","cadeau","gift","7.72","1.14"
"60","ahahahah","ahahahah","7.72","1.37"
"61","rêves","dreams","7.72","1.13"
"62","libre","Free","7.7","1.07"
"63","maman","mom","7.7","1.43"
"64","adore","love","7.7","1.04"
"65","succès","success","7.7","1.13"
"66","libertés","freedoms","7.7","1.13"
"67","noel","Christmas","7.68","1.63"
"68","contente","happy","7.68","1.1"
"69","loves","loves","7.68","1.15"
"70","victoire","victory","7.66","1.22"
"71","wonderful","wonderful","7.66","1.06"
"72","bien-être","well-being","7.66","1.12"
"73","liberté","freedom","7.66","1.27"
"74","holiday","holiday","7.66","1.19"
"75","d'amour","Love","7.64","1.27"
"76","beauté","beauty","7.64","1.01"
"77","week-end","weekend","7.64","1.22"
"78","enthousiasme","enthusiasm","7.64","1.12"
"79","fêter","celebrate","7.64","1.1"
"80","chérie","honey","7.64","1.08"
"81","hahahah","hahahah","7.64","1.17"
"82","voyage","Travel","7.64","1.1"
"83","géniale","great","7.64","1.12"
"84","chocolats","chocolates","7.64","1.16"
"85","loving","loving","7.62","1.31"
"86","îles","Islands","7.62","1.05"
"87","ami","Friend","7.62","1.07"
"88","fleurs","flowers","7.62","0.99"
"89","paradise","paradise","7.62","1.23"
"90","amis","friends","7.62","1.23"
"91","passion","passion","7.62","1.01"
"92","beaux","beautiful","7.6","1.11"
"93","coeur","heart","7.6","1.2"
"94","ahahahaha","ahahahaha","7.6","1.63"
"95","espoir","hope","7.6","1.21"
"96","noël","christmas","7.6","1.44"
"97","chouette","owl","7.6","1.12"
"98","agréable","pleasant","7.58","0.93"
"99","bisou","kiss","7.58","1.05"
"100","cherie","cherie","7.58","1.11"
"101","vacance","vacancy","7.58","1.54"
"102","famille","Family","7.58","1.2"
"103","l'humour","humor","7.58","0.95"
"104","vie","life","7.56","1.3"
"105","mamans","Moms","7.56","1.49"
"106","aimé","loved","7.56","1.33"
"107","ouiiii","ouiiii","7.56","1.36"
"108","parfait","perfect","7.56","1.49"
"109","christmas","christmas","7.56","1.39"
"110","friends","friends","7.56","1.16"
"111","weekend","weekend","7.54","1.39"
"112","jolie","pretty","7.54","1.13"
"113","amitié","Friendship","7.54","1.42"
"114","peace","peace","7.54","1.33"
"115","extraordinaire","wonderful","7.54","1.2"
"116","super","super","7.54","1.09"
"117","naissance","birth","7.54","1.15"
"118","parfaite","perfect","7.52","1.34"
"119","beautiful","beautiful","7.52","1.01"
"120","hahahaha","hahahaha","7.52","1.53"
"121","adoré","loved","7.52","1.15"
"122","rigole","channel","7.52","1.18"
"123","gâteau","cake","7.5","0.97"
"124","intelligence","intelligence","7.5","1.07"
