"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"0","사랑합니다","Love","7.84","1.27"
"1","사랑해","I love you","7.84","1.25"
"2","사랑해요","I love you","7.8","1.21"
"3","축하합니다","Congratulations","7.64","1.24"
"4","행복","Happiness","7.62","1.44"
"5","happy","happy","7.62","1.38"
"6","Happy","Happy","7.62","1.26"
"7","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah","7.6","1.53"
"8","사랑","Love","7.6","1.37"
"9","축하드립니다","Congratulations","7.58","0.99"
"10","행복해","Happy","7.56","1.46"
"11","사랑한다","Love","7.54","1.3"
"12","HAPPY","HAPPY","7.54","1.42"
"13","메리크리스마스","Merry Christmas","7.52","1.36"
"14","행복하다","Happy","7.5","1.45"
"15","love","love","7.5","1.47"
"16","사랑한다고","Love","7.46","1.07"
"17","행복한","Happy","7.44","1.43"
"18","축하드려요","Congratulations","7.44","0.99"
"19","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah blah blah blah blah blah","7.44","1.7"
"20","사랑하고","Love","7.42","1.13"
"21","최고","Maximum","7.4","1.32"
"22","고마워","Thanks","7.4","1.29"
"23","축하해","Congratulations","7.4","0.97"
"24","Christmas","Christmas","7.38","1.47"
"25","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah blah blah blah blah","7.36","1.45"
"26","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah","7.36","1.75"
"27","사랑하는","Loving","7.34","1.36"
"28","크리스마스","Christmas","7.34","1.21"
"29","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah","7.32","1.82"
"30","해피","Happy","7.32","1.48"
"31","행복하고","Happy and","7.32","1.22"
"32","크리스마스날","Christmas Day","7.3","1.3"
"33","환영합니다","Welcome to","7.3","1.2"
"34","이쁘다","Ooh","7.3","0.95"
"35","크리스마스가","Christmas","7.3","1.33"
"36","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah","7.3","1.84"
"37","감사합니다^^","Thank you ^ ^","7.28","1.31"
"38","Best","Best","7.28","1.31"
"39","사랑의","Love","7.28","1.23"
"40","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah blah blah blah blah blah blah","7.28","1.69"
"41","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah blah blah blah","7.28","1.37"
"42","웃음","Laughter","7.26","1.17"
"43","선물","Gift","7.24","1.24"
"44","사랑은","Love","7.24","1.14"
"45","사랑이","Love","7.24","1.19"
"46","즐거운","Joyful","7.24","1.04"
"47","즐겁고","Fun","7.24","1.1"
"48","성탄절","Christmas","7.22","1.37"
"49","화이팅","Go","7.22","1.45"
"50","행복한거야","Happy.","7.22","1.3"
"51","축하해요","Congratulations","7.22","1.17"
"52","ㅎㅎㅎㅎㅎ","Heh heh heh heh heh","7.2","1.12"
"53","훌륭합니다","Wonderful","7.2","1.18"
"54","좋아해","I like","7.2","1.03"
"55","Love","Love","7.2","1.53"
"56","감사해요","Thank you","7.18","1.14"
"57","예쁜","Pretty","7.18","0.98"
"58","멋졌어요","Awesome","7.16","1.09"
"59","안녕하세요^^","Hi ^ ^","7.16","1.04"
"60","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah","7.16","1.3"
"61","크리스마스때","Christmas.","7.16","1.46"
"62","하하하하","Ha ha ha ha ha","7.16","1.23"
"63","1위","1 of","7.16","1.65"
"64","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah blah","7.14","1.41"
"65","성공","Success","7.14","1.32"
"66","크리스마스에","Christmas","7.14","1.47"
"67","감사합니다","Thank you","7.14","1.25"
"68","christmas","christmas","7.14","1.48"
"69","신난다","Awesome","7.12","1.19"
"70","행복이","Happiness","7.12","1.38"
"71","감동","Emotion","7.12","1.1"
"72","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah blah blah blah","7.12","1.59"
"73","축하","Celebration","7.12","1.21"
"74","승리","Win","7.12","1.21"
"75","ㅋㅋㅋㅋㅋㅋㅋ","Blah blah blah blah blah","7.12","1.12"
"76","행복하게","Happily","7.1","1.33"
