"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"0","люблю","love","8.22","0.82"
"1","любовь","love","8.22","1"
"2","счастлива","happy","8.2","0.83"
"3","счастливый","happy","8.2","1.03"
"4","любить","love","8.16","0.87"
"5","счастье","happiness","8.12","1.02"
"6","любимая","beloved","8.1","0.95"
"7","счастливая","happy","8.1","0.91"
"8","счастливы","happy","8.08","1.03"
"9","счастливой","happy","8.08","0.94"
"10","счастья","happiness","8.04","0.95"
"11","любимый","favorite","8.04","0.92"
"12","счастлив","happy","8.04","1.11"
"13","прекрасный","beautiful","8","0.93"
"14","счастливым","happy","8","0.99"
"15","радость","joy","7.98","1.06"
"16","влюблен","love","7.94","0.91"
"17","любимой","favorite","7.92","0.94"
"18","великолепно","magnificently","7.92","1.16"
"19","чудесный","wonderful","7.92","0.92"
"20","любимым","favorite","7.92","0.99"
"21","любовью","love","7.9","1.09"
"22","прекрасной","beautiful","7.88","0.98"
"23","счастью","Thankfully","7.88","1.12"
"24","любишь","love","7.88","1.06"
"25","прекрасная","beautiful","7.88","0.92"
"26","счастливого","happy","7.88","0.94"
"27","прекрасно","fine","7.86","0.93"
"28","любви","love","7.86","1.07"
"29","отлично","fine","7.86","1.14"
"30","прекрасна","beautiful","7.84","0.96"
"31","любимые","favorite","7.84","1.06"
"32","любимых","favorite","7.84","0.93"
"33","чудесно","wonderfully","7.82","0.98"
"34","wonderful","wonderful","7.82","0.96"
"35","любимого","favorite","7.82","1.08"
"36","влюбилась","love","7.8","0.97"
"37","отличная","great","7.8","0.97"
"38","happy","happy","7.8","1.12"
"39","лучший","best","7.8","1.09"
"40","успех","success","7.8","1.12"
"41","счастливо","happily","7.8","1.21"
"42","превосходно","fine","7.78","1.17"
"43","отличное","great","7.76","1.15"
"44","любимую","favorite","7.76","0.98"
"45","потрясающе","stunningly","7.76","1.14"
"46","любит","love","7.76","1.02"
"47","замечательный","wonderful","7.74","1.07"
"48","свадьба","wedding","7.74","1.27"
"49","победа","victory","7.72","1.16"
"50","отличный","great","7.72","1.07"
"51","рай","paradise","7.72","1.26"
"52","влюбился","love","7.72","0.83"
"53","радости","joy","7.72","1.07"
"54","праздник","holiday","7.7","0.97"
"55","обожаю","I love","7.7","1.04"
