"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"0","快乐","Happy","7.82","1.48"
"1","喜悦","Joy","7.56","1.33"
"2","幸福","Happiness","7.54","1.51"
"3","成功","Success","7.48","1.33"
"4","可爱","Cute","7.46","1.18"
"5","漂亮","Beautiful","7.42","1.64"
"6","完美","Perfect","7.4","1.75"
"7","健康","Health","7.4","1.47"
"8","高兴","Happy","7.38","2.09"
"9","欣喜","Happy","7.34","1.45"
"10","精彩","Wonderful","7.32","1.43"
"11","优美","Beautiful","7.3","1.33"
"12","繁荣","Prosperity","7.28","1.54"
"13","冠军","Champion","7.24","1.56"
"14","优异","Merit","7.24","1.67"
"15","善良","Kind-hearted","7.24","1.2"
"16","欢乐","Joy","7.22","1.8"
"17","美好","Fine","7.22","1.64"
"18","祝贺","Congratulation","7.2","1.36"
"19","丰收","Bumper","7.2","1.68"
"20","愉快","Happy","7.2","1.75"
"21","赞扬","Praise","7.2","1.25"
"22","辉煌","Brilliant","7.18","1.56"
"23","赞美","Praise","7.18","1.48"
"24","爱","Love","7.18","1.93"
"25","优质","Quality","7.16","1.66"
"26","自豪","Pride","7.16","1.22"
"27","美","U.S.","7.16","1.56"
"28","富强","Fortune","7.16","1.6"
"29","恋爱","Love","7.14","1.76"
"30","乐观","Optimism","7.12","1.3"
"31","光荣","Glory","7.12","1.78"
"32","诚实","Honesty","7.12","1.47"
"33","美妙","Wonderful","7.12","1.53"
"34","温暖","Warm","7.12","1.29"
"35","心爱","Beloved","7.12","1.78"
"36","喜","Happy","7.1","1.76"
"37","真诚","Sincere","7.08","1.72"
"38","幸运","Lucky","7.08","1.52"
"39","奇迹","Miracle","7.08","1.76"
"40","灿烂","Brilliant","7.08","1.47"
"41","光辉","Radiance","7.06","1.41"
"42","享受","Enjoy","7.06","1.36"
"43","奖励","Reward","7.06","1.49"
"44","笑","Laugh","7.06","1.88"
"45","诚信","Integrity","7.06","1.75"
"46","新娘","Bride","7.04","1.87"
"47","突飞猛进","Leaps and bounds","7.04","1.68"
"48","优秀","Excellent","7.04","2.02"
"49","笑容","Smile","7.04","1.75"
"50","妈妈","Mom","7.02","1.79"
"51","优","Excellent","7.02","1.73"
"52","喜欢","Like","7.02","1.56"
"53","庆祝","Celebrate","7","1.56"
"54","壮丽","Magnificent","7","1.81"
"55","表扬","Praise","7","1.81"
"56","繁华","Bustling","7","1.32"
"57","高贵","Noble","7","1.5"
"58","亲切","Cordial","7","1.46"
"59","卓越","Excellent","6.98","1.46"
"60","诚挚","Sincere","6.98","1.49"
"61","母亲","Mother","6.96","1.69"
"62","优胜","Winning","6.96","1.68"
"63","满意","Satisfaction","6.96","1.7"
"64","天才","Genius","6.94","1.8"
"65","欢呼","Cheer","6.94","1.38"
"66","微笑","Smile","6.94","1.52"
"67","童话","Fairy tale","6.94","1.3"
"68","丰厚","Rich","6.94","1.36"
"69","聪明","Clever","6.94","1.2"
"70","壮观","Spectacular","6.94","1.1"
"71","喜爱","Favorite","6.94","1.43"
"72","兴旺","Thrive","6.92","1.79"
"73","美丽","Beautiful","6.92","1.68"
"74","感激","Grateful","6.92","1.1"
"75","大好","Excellent","6.9","1.33"
"76","奉献","Dedicate","6.9","1.34"
"77","富","Rich","6.9","1.93"
"78","亲爱","Dear","6.9","1.73"
"79","哈哈","Haha","6.88","1.69"
"80","胜","Victory","6.88","1.71"
"81","富有","Wealthy","6.88","1.73"
"82","富余","Surplus","6.88","1.48"
"83","感谢","Thank","6.88","1.51"
"84","出色","Outstanding","6.88","1.48"
"85","亲密","Close","6.88","1.48"
"86","荣誉","Honor","6.88","1.51"
"87","创新","Innovation","6.88","1.1"
"88","乐趣","Pleasure","6.86","1.4"
"89","好事","Good deed","6.86","1.57"
"90","了不起","Amazing","6.86","1.71"
"91","胜利","Victory","6.86","2.05"
"92","花朵","Flowers","6.86","1.43"
"93","礼貌","Courtesy","6.86","1.34"
"94","称赞","Praise","6.86","1.41"
"95","信任","Trust","6.86","1.53"
"96","融洽","Harmony","6.86","1.39"
"97","赞赏","Praise","6.86","1.46"
"98","可喜","Gratifying","6.86","1.55"
"99","奖","Award","6.86","1.84"
"100","廉洁","Probity","6.86","1.57"
"101","勤奋","Diligent","6.84","1.25"
"102","鼓励","Encourage","6.84","1.11"
"103","激励","Excitation","6.84","1.36"
"104","热情","Enthusiasm","6.84","1.66"
"105","浪漫","Romantic","6.84","1.61"
"106","亲人","Relatives","6.84","1.75"
"107","真挚","Sincere","6.84","1.42"
"108","红利","Bonus","6.84","1.2"
"109","高尚","Noble","6.84","1.65"
"110","乐","Music","6.84","1.6"
"111","杰出","Eminent","6.84","1.54"
"112","杰作","Masterpiece","6.82","1.41"
"113","好评","Favorable comment","6.82","1.42"
"114","慈善","Charitable","6.82","1.29"
"115","强盛","Powerful and prosperous","6.82","1.34"
"116","舒适","Cozy","6.82","1.24"
"117","宝贝","Baby","6.82","1.76"
"118","忠诚","Loyalty","6.82","1.9"
"119","尊敬","Respect","6.82","1.53"
"120","优良","Excellent","6.8","1.68"
"121","热心","Enthusiastic","6.8","1.39"
"122","舒服","Comfort","6.8","1.51"
"123","可贵","Valuable","6.8","1.4"
"124","圆满","Satisfactorily","6.8","1.84"
"125","伟大","Great","6.8","1.86"
"126","幽默","Humor","6.8","1.32"
"127","卓有成效","Highly effective","6.8","1.6"
"128","光彩","Honorable","6.8","1.14"
"129","顺利","Smoothly","6.78","1.61"
"130","兴奋","Excited","6.78","1.39"
"131","美感","Aesthetic feeling","6.78","1.84"
"132","鼓舞","Inspire","6.78","1.31"
"133","赞成","Approve","6.78","1.67"
"134","满足","Meet","6.78","1.59"
"135","珍贵","Precious","6.78","1.34"
"136","轻松","Relaxed","6.78","1.62"
"137","天赋","Talent","6.78","1.33"
"138","富裕","Wealthy","6.78","1.8"
"139","福","Blessing","6.78","1.64"
"140","热烈","Warm","6.78","1.33"
"141","欣赏","Appreciate","6.78","1.36"
"142","姐妹","Sisters","6.76","1.41"
"143","鲜花","Flowers","6.76","1.19"
"144","拥抱","Hug","6.76","1.38"
"145","赞叹","Praise","6.76","1.8"
"146","喜剧","Comedy","6.76","1.59"
"147","奖金","Bonus","6.76","1.57"
"148","福利","Welfare","6.76","1.3"
"149","光明","Bright","6.76","1.56"
"150","战胜","Conquer","6.74","1.77"
"151","进步","Progress","6.74","1.27"
"152","自信","Confidence","6.74","1.5"
"153","正义","Justice","6.74","1.63"
"154","兴盛","Thrive","6.74","1.79"
"155","有趣","Interesting","6.74","1.44"
"156","诚意","Sincerity","6.74","1.21"
"157","天堂","Heaven","6.74","1.89"
"158","和平","Peace","6.74","1.91"
"159","婚礼","Wedding","6.74","1.63"
"160","盈余","Surplus","6.72","1.11"
"161","优越","Advantageous","6.72","1.36"
"162","才华","Talent","6.72","1.58"
"163","诚恳","Sincere","6.72","1.39"
"164","旺盛","Exuberant","6.72","1.39"
"165","谢谢","Thank you","6.7","1.59"
"166","好","Good","6.7","1.72"
"167","振兴","Promote","6.7","1.4"
"168","感动","Moving","6.7","1.33"
"169","热忱","Enthusiasm","6.7","1.54"
"170","信赖","Trust","6.7","1.27"
"171","风趣","Witty","6.7","1.15"
"172","童年","Childhood","6.7","1.79"
"173","精华","Digest","6.68","1.8"
"174","结婚","Get married","6.68","1.73"
"175","灵敏","Keen","6.68","0.96"
"176","发达","Developed","6.68","1.58"
"177","崇高","Sublime","6.68","1.58"
"178","敬意","Tribute","6.68","1.13"
"179","多彩","Colorful","6.68","1.06"
"180","阳光","Sunlight","6.68","1.89"
"181","关怀","Care","6.68","1.56"
"182","功绩","Feat","6.68","1.3"
"183","痛快","Happy","6.68","1.36"
"184","活泼","Lively","6.68","1.57"
"185","升华","Sublimation","6.68","1.27"
"186","全心全意","Whole-heartedly","6.68","1.62"
"187","丰硕","Fruitful","6.68","1.7"
"188","爸","Dad","6.68","1.49"
"189","爱好","Hobby","6.68","1.32"
"190","智慧","Wisdom","6.68","1.92"
"191","精英","Elite","6.68","1.82"
"192","高效","Efficient","6.66","1.48"
"193","欢","Happy","6.66","1.66"
"194","宝贵","Valuable","6.66","1.6"
"195","尊重","Respect","6.66","1.47"
"196","晋升","Promotion","6.66","1.7"
"197","名胜","Scenic","6.66","1.44"
"198","春天","Spring","6.66","1.29"
"199","优点","Advantage","6.66","1.59"
"200","赢利","Profit","6.64","1.54"
"201","收益","Income","6.64","1.27"
"202","欢迎","Welcome","6.64","1.68"
"203","好看","Good-looking","6.64","1.16"
"204","天真","Naive","6.64","1.54"
"205","丰富","Rich","6.64","1.44"
"206","奇妙","Wonderful","6.64","1.55"
"207","希望","Hope","6.64","1.38"
"208","好好","Good","6.64","1.48"
"209","和睦","Harmony","6.64","1.59"
"210","好感","Favorable impression","6.62","1.29"
"211","盛大","Grand","6.62","1.16"
"212","免费","Free","6.62","1.71"
"213","优惠","Preferential","6.62","1.34"
"214","家","Home","6.62","1.77"
"215","妈","Mom","6.62","1.77"
"216","宽容","Tolerant","6.62","1.34"
"217","明亮","Brightness","6.62","1.31"
"218","巧妙","Clever","6.62","1.16"
"219","勇敢","Brave","6.62","1.61"
"220","正直","Upright","6.62","1.38"
