,year,month,day,num_geo_posts,num_sent_posts,num_common_posts
0,2015,1,1,0,0,0
1,2015,1,2,0,0,0
2,2015,1,3,0,0,0
3,2015,1,4,0,0,0
4,2015,1,5,0,0,0
5,2015,1,6,0,0,0
6,2015,1,7,0,0,0
7,2015,1,8,0,0,0
8,2015,1,9,0,0,0
9,2015,1,10,0,0,0
10,2015,1,11,0,0,0
11,2015,1,12,0,0,0
12,2015,1,13,0,0,0
13,2015,1,14,0,0,0
14,2015,1,15,0,0,0
15,2015,1,16,0,0,0
16,2015,1,17,0,0,0
17,2015,1,18,0,0,0
18,2015,1,19,0,0,0
19,2015,1,20,0,0,0
20,2015,1,21,0,0,0
21,2015,1,22,0,0,0
22,2015,1,23,0,0,0
23,2015,1,24,0,0,0
24,2015,1,25,0,0,0
25,2015,1,26,0,0,0
26,2015,1,27,0,0,0
27,2015,1,28,0,0,0
28,2015,1,29,0,0,0
29,2015,1,30,0,0,0
30,2015,1,31,0,0,0
31,2015,2,1,0,0,0
32,2015,2,2,0,0,0
33,2015,2,3,0,0,0
34,2015,2,4,0,0,0
35,2015,2,5,0,0,0
36,2015,2,6,0,0,0
37,2015,2,7,0,0,0
38,2015,2,8,0,0,0
39,2015,2,9,0,0,0
40,2015,2,10,0,0,0
41,2015,2,11,0,0,0
42,2015,2,12,0,0,0
43,2015,2,13,0,0,0
44,2015,2,14,0,0,0
45,2015,2,15,0,0,0
46,2015,2,16,0,0,0
47,2015,2,17,0,0,0
48,2015,2,18,0,0,0
49,2015,2,19,0,0,0
50,2015,2,20,0,0,0
51,2015,2,21,0,0,0
52,2015,2,22,0,0,0
53,2015,2,23,0,0,0
54,2015,2,24,0,0,0
55,2015,2,25,0,0,0
56,2015,2,26,0,0,0
57,2015,2,27,0,0,0
58,2015,2,28,0,0,0
59,2015,3,1,0,0,0
60,2015,3,2,0,0,0
61,2015,3,3,0,0,0
62,2015,3,4,0,0,0
63,2015,3,5,0,0,0
64,2015,3,6,0,0,0
65,2015,3,7,0,0,0
66,2015,3,8,0,0,0
67,2015,3,9,0,0,0
68,2015,3,10,0,0,0
69,2015,3,11,0,0,0
70,2015,3,12,0,0,0
71,2015,3,13,0,0,0
72,2015,3,14,0,0,0
73,2015,3,15,0,0,0
74,2015,3,16,0,0,0
75,2015,3,17,0,0,0
76,2015,3,18,0,0,0
77,2015,3,19,0,0,0
78,2015,3,20,0,0,0
79,2015,3,21,0,0,0
80,2015,3,22,0,0,0
81,2015,3,23,0,0,0
82,2015,3,24,0,0,0
83,2015,3,25,0,0,0
84,2015,3,26,0,0,0
85,2015,3,27,0,0,0
86,2015,3,28,0,0,0
87,2015,3,29,0,0,0
88,2015,3,30,0,0,0
89,2015,3,31,0,0,0
90,2015,4,1,0,0,0
91,2015,4,2,0,0,0
92,2015,4,3,0,0,0
