,year,month,day,num_geo_posts,num_sent_posts,num_common_posts
0,2013,1,1,14,16,14
1,2013,1,2,13,16,13
2,2013,1,3,254107,258085,253110
3,2013,1,4,251466,253521,250448
4,2013,1,5,251205,253431,250142
5,2013,1,6,233180,235291,232150
6,2013,1,7,148913,150629,148299
7,2013,1,8,391969,412457,390465
8,2013,1,9,5761706,6110007,5739993
9,2013,1,10,4722382,5007452,4705284
10,2013,1,11,17,20,17
11,2013,1,12,16,15,15
12,2013,1,13,8,10,8
13,2013,1,14,9,12,9
14,2013,1,15,15,15,15
15,2013,1,16,3196071,3376233,3184134
16,2013,1,17,5307581,5626848,5287235
17,2013,1,18,5099465,5442908,5079695
18,2013,1,19,3500358,3797473,3486029
19,2013,1,20,3671157,3961013,3656125
20,2013,1,21,3451323,3745140,3438047
21,2013,1,22,3345788,3626768,3333085
22,2013,1,23,3492492,3786315,3479422
23,2013,1,24,3559843,3860179,3546668
24,2013,1,25,3521283,3847816,3508152
25,2013,1,26,3559634,3875800,3545137
26,2013,1,27,3670432,3989100,3654517
27,2013,1,28,3536317,3851452,3522092
28,2013,1,29,3500124,3817873,3486405
29,2013,1,30,3503836,3825540,3490492
30,2013,1,31,3217250,3502984,3205127
31,2013,2,1,3456565,3782905,3443462
32,2013,2,2,3515274,3824956,3500812
33,2013,2,3,3703944,4005950,3688219
34,2013,2,4,6098805,6425632,6075014
35,2013,2,5,5713035,6037157,5689810
36,2013,2,6,5674242,5997393,5651136
37,2013,2,7,4951690,5268814,4931611
38,2013,2,8,4877164,5207375,4857510
39,2013,2,9,4956714,5285673,4936241
40,2013,2,10,5092230,5412407,5070011
41,2013,2,11,5190676,5512952,5169916
42,2013,2,12,5030747,5350346,5009769
43,2013,2,13,5209995,5539043,5188583
44,2013,2,14,5281112,5609209,5259006
45,2013,2,15,5067832,5416255,5046570
46,2013,2,16,5282522,5623362,5259195
47,2013,2,17,5584491,5934292,5559111
48,2013,2,18,5411398,5749232,5388168
49,2013,2,19,5350463,5683774,5327595
50,2013,2,20,5490239,5819347,5467404
51,2013,2,21,5457473,5784764,5434431
52,2013,2,22,5539581,5922450,5516308
53,2013,2,23,5617045,5967500,5592144
54,2013,2,24,5881576,6233607,5854484
55,2013,2,25,5745296,6077312,5721125
56,2013,2,26,5592426,5916582,5569409
57,2013,2,27,5082066,5372188,5061348
58,2013,2,28,5190298,5492055,5168752
59,2013,3,1,5275819,5612656,5253756
60,2013,3,2,5478366,5810071,5454727
61,2013,3,3,5680885,6009068,5654393
62,2013,3,4,5358090,5668738,5335014
