,corrupted_files
0,/srv/data/twitter_geography/2018/geography_2018_1_03_03.csv.gz
1,/srv/data/twitter_geography/2018/geography_2018_1_03_04.csv.gz
2,/srv/data/twitter_geography/2018/geography_2018_1_03_05.csv.gz
3,/srv/data/twitter_geography/2018/geography_2018_1_03_06.csv.gz
4,/srv/data/twitter_geography/2018/geography_2018_1_03_07.csv.gz
5,/srv/data/twitter_geography/2018/geography_2018_1_03_08.csv.gz
6,/srv/data/twitter_geography/2018/geography_2018_1_03_09.csv.gz
7,/srv/data/twitter_geography/2018/geography_2018_1_03_10.csv.gz
8,/srv/data/twitter_geography/2018/geography_2018_1_03_11.csv.gz
9,/srv/data/twitter_geography/2018/geography_2018_1_04_04.csv.gz
10,/srv/data/twitter_geography/2018/geography_2018_1_04_05.csv.gz
11,/srv/data/twitter_geography/2018/geography_2018_1_04_06.csv.gz
12,/srv/data/twitter_geography/2018/geography_2018_1_04_07.csv.gz
13,/srv/data/twitter_geography/2018/geography_2018_1_04_08.csv.gz
14,/srv/data/twitter_geography/2018/geography_2018_1_04_09.csv.gz
15,/srv/data/twitter_geography/2018/geography_2018_1_04_10.csv.gz
16,/srv/data/twitter_geography/2018/geography_2018_1_04_11.csv.gz
17,/srv/data/twitter_geography/2018/geography_2018_1_05_05.csv.gz
18,/srv/data/twitter_geography/2018/geography_2018_1_05_06.csv.gz
19,/srv/data/twitter_geography/2018/geography_2018_1_05_07.csv.gz
20,/srv/data/twitter_geography/2018/geography_2018_1_05_08.csv.gz
21,/srv/data/twitter_geography/2018/geography_2018_1_22_07.csv.gz
22,/srv/data/twitter_geography/2018/geography_2018_1_22_20.csv.gz
23,/srv/data/twitter_geography/2018/geography_2018_1_23_18.csv.gz
24,/srv/data/twitter_geography/2018/geography_2018_1_23_19.csv.gz
25,/srv/data/twitter_geography/2018/geography_2018_1_23_20.csv.gz
26,/srv/data/twitter_geography/2018/geography_2018_1_23_21.csv.gz
27,/srv/data/twitter_geography/2018/geography_2018_1_24_04.csv.gz
28,/srv/data/twitter_geography/2018/geography_2018_1_24_12.csv.gz
29,/srv/data/twitter_geography/2018/geography_2018_1_24_18.csv.gz
30,/srv/data/twitter_geography/2018/geography_2018_1_25_00.csv.gz
31,/srv/data/twitter_geography/2018/geography_2018_1_27_23.csv.gz
32,/srv/data/twitter_geography/2018/geography_2018_1_28_00.csv.gz
33,/srv/data/twitter_geography/2018/geography_2018_1_28_16.csv.gz
34,/srv/data/twitter_geography/2018/geography_2018_1_29_01.csv.gz
35,/srv/data/twitter_geography/2018/geography_2018_1_29_16.csv.gz
36,/srv/data/twitter_geography/2018/geography_2018_1_29_18.csv.gz
37,/srv/data/twitter_geography/2018/geography_2018_1_29_19.csv.gz
38,/srv/data/twitter_geography/2018/geography_2018_1_29_20.csv.gz
39,/srv/data/twitter_geography/2018/geography_2018_3_30_09.csv.gz
40,/srv/data/twitter_geography/2018/geography_2018_3_30_10.csv.gz
41,/srv/data/twitter_geography/2018/geography_2018_8_08_00.csv.gz
42,/srv/data/twitter_geography/2018/geography_2018_8_18_02.csv.gz
43,/srv/data/twitter_geography/2018/geography_2018_8_18_03.csv.gz
44,/srv/data/twitter_geography/2018/geography_2018_8_18_04.csv.gz
45,/srv/data/twitter_geography/2018/geography_2018_8_18_05.csv.gz
46,/srv/data/twitter_geography/2018/geography_2018_8_18_06.csv.gz
47,/srv/data/twitter_geography/2018/geography_2018_8_18_23.csv.gz
48,/srv/data/twitter_geography/2018/geography_2018_8_19_00.csv.gz
49,/srv/data/twitter_geography/2018/geography_2018_8_19_01.csv.gz
50,/srv/data/twitter_geography/2018/geography_2018_8_19_02.csv.gz
51,/srv/data/twitter_geography/2018/geography_2018_8_19_03.csv.gz
52,/srv/data/twitter_geography/2018/geography_2018_8_19_04.csv.gz
53,/srv/data/twitter_geography/2018/geography_2018_8_19_05.csv.gz
54,/srv/data/twitter_geography/2018/geography_2018_8_19_06.csv.gz
55,/srv/data/twitter_geography/2018/geography_2018_8_21_02.csv.gz
