,missing_files
0,/srv/data/twitter_geography/2021/geography_2021_1_03_23.csv.gz
1,/srv/data/twitter_geography/2021/geography_2021_1_10_23.csv.gz
2,/srv/data/twitter_geography/2021/geography_2021_1_17_23.csv.gz
3,/srv/data/twitter_geography/2021/geography_2021_1_31_23.csv.gz
4,/srv/data/twitter_geography/2021/geography_2021_2_14_23.csv.gz
5,/srv/data/twitter_geography/2021/geography_2021_2_21_23.csv.gz
6,/srv/data/twitter_geography/2021/geography_2021_2_28_23.csv.gz
7,/srv/data/twitter_geography/2021/geography_2021_3_07_23.csv.gz
8,/srv/data/twitter_geography/2021/geography_2021_3_14_23.csv.gz
9,/srv/data/twitter_geography/2021/geography_2021_3_19_16.csv.gz
10,/srv/data/twitter_geography/2021/geography_2021_3_19_17.csv.gz
11,/srv/data/twitter_geography/2021/geography_2021_3_19_18.csv.gz
12,/srv/data/twitter_geography/2021/geography_2021_3_19_19.csv.gz
13,/srv/data/twitter_geography/2021/geography_2021_3_19_20.csv.gz
14,/srv/data/twitter_geography/2021/geography_2021_3_19_21.csv.gz
15,/srv/data/twitter_geography/2021/geography_2021_3_19_22.csv.gz
16,/srv/data/twitter_geography/2021/geography_2021_3_19_23.csv.gz
17,/srv/data/twitter_geography/2021/geography_2021_3_21_23.csv.gz
18,/srv/data/twitter_geography/2021/geography_2021_3_28_02.csv.gz
19,/srv/data/twitter_geography/2021/geography_2021_3_28_22.csv.gz
20,/srv/data/twitter_geography/2021/geography_2021_3_28_23.csv.gz
21,/srv/data/twitter_geography/2021/geography_2021_3_29_23.csv.gz
22,/srv/data/twitter_geography/2021/geography_2021_3_30_23.csv.gz
23,/srv/data/twitter_geography/2021/geography_2021_3_31_23.csv.gz
24,/srv/data/twitter_geography/2021/geography_2021_4_01_23.csv.gz
25,/srv/data/twitter_geography/2021/geography_2021_4_02_23.csv.gz
26,/srv/data/twitter_geography/2021/geography_2021_4_03_23.csv.gz
27,/srv/data/twitter_geography/2021/geography_2021_4_04_22.csv.gz
28,/srv/data/twitter_geography/2021/geography_2021_4_04_23.csv.gz
29,/srv/data/twitter_geography/2021/geography_2021_4_05_23.csv.gz
30,/srv/data/twitter_geography/2021/geography_2021_4_06_23.csv.gz
31,/srv/data/twitter_geography/2021/geography_2021_4_07_23.csv.gz
32,/srv/data/twitter_geography/2021/geography_2021_4_08_23.csv.gz
33,/srv/data/twitter_geography/2021/geography_2021_4_09_23.csv.gz
34,/srv/data/twitter_geography/2021/geography_2021_4_10_23.csv.gz
35,/srv/data/twitter_geography/2021/geography_2021_4_11_22.csv.gz
36,/srv/data/twitter_geography/2021/geography_2021_4_11_23.csv.gz
37,/srv/data/twitter_geography/2021/geography_2021_4_12_23.csv.gz
38,/srv/data/twitter_geography/2021/geography_2021_4_13_23.csv.gz
39,/srv/data/twitter_geography/2021/geography_2021_4_14_23.csv.gz
40,/srv/data/twitter_geography/2021/geography_2021_4_15_23.csv.gz
41,/srv/data/twitter_geography/2021/geography_2021_4_16_23.csv.gz
42,/srv/data/twitter_geography/2021/geography_2021_4_17_23.csv.gz
43,/srv/data/twitter_geography/2021/geography_2021_4_18_22.csv.gz
44,/srv/data/twitter_geography/2021/geography_2021_4_18_23.csv.gz
45,/srv/data/twitter_geography/2021/geography_2021_4_19_23.csv.gz
46,/srv/data/twitter_geography/2021/geography_2021_4_20_23.csv.gz
47,/srv/data/twitter_geography/2021/geography_2021_4_21_23.csv.gz
48,/srv/data/twitter_geography/2021/geography_2021_4_22_23.csv.gz
49,/srv/data/twitter_geography/2021/geography_2021_4_23_23.csv.gz
50,/srv/data/twitter_geography/2021/geography_2021_4_24_23.csv.gz
51,/srv/data/twitter_geography/2021/geography_2021_4_25_22.csv.gz
52,/srv/data/twitter_geography/2021/geography_2021_4_25_23.csv.gz
53,/srv/data/twitter_geography/2021/geography_2021_4_26_23.csv.gz
54,/srv/data/twitter_geography/2021/geography_2021_4_27_23.csv.gz
55,/srv/data/twitter_geography/2021/geography_2021_4_28_23.csv.gz
56,/srv/data/twitter_geography/2021/geography_2021_4_29_23.csv.gz
57,/srv/data/twitter_geography/2021/geography_2021_4_30_23.csv.gz
58,/srv/data/twitter_geography/2021/geography_2021_5_01_23.csv.gz
59,/srv/data/twitter_geography/2021/geography_2021_5_02_23.csv.gz
60,/srv/data/twitter_geography/2021/geography_2021_5_03_23.csv.gz
61,/srv/data/twitter_geography/2021/geography_2021_5_04_23.csv.gz
62,/srv/data/twitter_geography/2021/geography_2021_5_05_23.csv.gz
63,/srv/data/twitter_geography/2021/geography_2021_5_06_23.csv.gz
64,/srv/data/twitter_geography/2021/geography_2021_5_07_23.csv.gz
65,/srv/data/twitter_geography/2021/geography_2021_5_08_23.csv.gz
66,/srv/data/twitter_geography/2021/geography_2021_5_09_22.csv.gz
67,/srv/data/twitter_geography/2021/geography_2021_5_09_23.csv.gz
68,/srv/data/twitter_geography/2021/geography_2021_5_10_23.csv.gz
69,/srv/data/twitter_geography/2021/geography_2021_5_11_23.csv.gz
70,/srv/data/twitter_geography/2021/geography_2021_5_12_23.csv.gz
71,/srv/data/twitter_geography/2021/geography_2021_5_13_23.csv.gz
72,/srv/data/twitter_geography/2021/geography_2021_5_14_23.csv.gz
73,/srv/data/twitter_geography/2021/geography_2021_5_15_23.csv.gz
74,/srv/data/twitter_geography/2021/geography_2021_5_16_22.csv.gz
75,/srv/data/twitter_geography/2021/geography_2021_5_16_23.csv.gz
76,/srv/data/twitter_geography/2021/geography_2021_5_17_23.csv.gz
77,/srv/data/twitter_geography/2021/geography_2021_5_18_23.csv.gz
78,/srv/data/twitter_geography/2021/geography_2021_5_19_23.csv.gz
79,/srv/data/twitter_geography/2021/geography_2021_5_20_23.csv.gz
80,/srv/data/twitter_geography/2021/geography_2021_5_21_23.csv.gz
81,/srv/data/twitter_geography/2021/geography_2021_5_22_23.csv.gz
82,/srv/data/twitter_geography/2021/geography_2021_5_23_22.csv.gz
83,/srv/data/twitter_geography/2021/geography_2021_5_23_23.csv.gz
84,/srv/data/twitter_geography/2021/geography_2021_5_24_23.csv.gz
85,/srv/data/twitter_geography/2021/geography_2021_5_25_23.csv.gz
86,/srv/data/twitter_geography/2021/geography_2021_5_26_23.csv.gz
87,/srv/data/twitter_geography/2021/geography_2021_5_27_23.csv.gz
88,/srv/data/twitter_geography/2021/geography_2021_5_28_23.csv.gz
89,/srv/data/twitter_geography/2021/geography_2021_5_29_23.csv.gz
