,year,month,day,Brazil,Côte d'Ivoire,Netherlands,Paraguay,Russia,South Korea,Spain,Sweden,United States,Italy,Sri Lanka,Thailand,United Kingdom,Afghanistan,Albania,American Samoa,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Bolivia,Brunei,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Cuba,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Fiji,Finland,France,French Guiana,Gabon,Georgia,Germany,Ghana,Greece,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyzstan,Laos,Latvia,Lebanon,Luxembourg,Macao,Malawi,Malaysia,Mali,Martinique,Mexico,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Reunion,Romania,Samoa,Senegal,Serbia,Slovakia,South Africa,Sudan,Suriname,Switzerland,Taiwan,Tajikistan,Tanzania,Turkey,Uganda,Ukraine,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, U.S.",Zimbabwe,Bulgaria,Wallis and Futuna,Algeria,Angola,Benin,Bosnia and Herzegovina,Botswana,Burkina Faso,Burundi,Chad,Croatia,Democratic Republic of the Congo,Ethiopia,Guinea,Isle of Man,Liberia,Lithuania,Mauritania,Palestina,Republic of Congo,Slovenia,Somalia,South Sudan,Syria,Togo,Tunisia,Yemen,Zambia,Bhutan,Central African Republic,Djibouti,Equatorial Guinea,Eritrea,Faroe Islands,Gambia,Guinea-Bissau,Madagascar,North Korea,Rwanda,Sierra Leone,Swaziland,São Tomé and Príncipe,Timor-Leste,Vanuatu,Solomon Islands,Saint Helena
0,2013,1,1,2,1,1,1,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,1,2,0,0,0,0,0,0,3,0,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,1,3,52339,1,171,1595,301,318,660,53,123494,128,7,550,1806,3,3,1,6553,291,8,6,4,12,33,87,7,4,8,4358,5024,52,9332,1011,6,8,12,1319,2123,65,1372,4,5,14,1099,61,1,2,84,15,11,138,1754,38,19,763,11,1,122,5528,2,3,1764,8,8,31,9,3,3,17,6,7,4,2,1408,2,394,15203,12,7,3,4,1,12,2,52,353,1,93,34,13,6,1772,1,1395,895,10,28,6,2,4,14,11,1,96,2,101,35,16,1,10,415,4,25,199,2,5751,17,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013,1,4,55318,0,1,1842,2,0,1,0,128918,0,0,0,3,0,0,1,7187,0,0,0,0,0,1,135,0,0,0,4012,5624,0,9627,1123,6,0,0,1484,2528,1,1520,0,0,0,1,77,0,0,1,0,0,154,1995,21,16,990,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,571,16547,6,0,0,0,0,0,0,0,377,0,0,0,0,0,1865,0,1562,0,0,0,0,0,2,0,0,0,0,0,54,0,0,0,0,0,0,0,185,2,6661,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013,1,5,55986,0,0,1808,1,0,2,0,128026,0,0,0,2,0,0,0,7181,0,0,0,0,0,0,83,0,0,0,4498,5083,0,10010,1234,0,0,0,1466,2261,0,1373,0,0,0,2,65,0,0,0,0,0,140,1846,29,24,901,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,466,16696,2,0,0,0,0,0,0,0,256,0,0,0,0,0,1925,0,1582,0,0,0,0,0,2,0,0,0,0,0,79,0,0,0,0,0,0,0,260,3,6812,0,28,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2013,1,6,55240,0,0,1696,1,0,1,1,115197,0,0,1,1,0,0,0,7702,0,0,0,0,0,0,95,0,0,0,4298,5015,0,9267,1209,0,0,0,1483,2270,0,1498,0,0,0,0,51,0,0,0,0,0,153,2068,19,27,934,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,420,13008,5,0,0,0,0,0,0,0,343,0,0,0,0,0,1588,0,1705,0,0,0,0,0,1,0,0,0,0,0,61,0,0,0,0,0,0,0,194,0,6560,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,1,7,50084,0,1,1443,2,1,1,0,56335,0,0,0,5,0,0,0,6602,0,0,0,0,0,0,55,0,0,0,2312,4966,0,8100,1171,2,0,0,1317,1875,0,1346,0,0,0,4,21,0,0,1,0,0,147,1292,15,29,737,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,425,1069,0,0,0,0,0,0,0,0,289,0,0,0,0,0,1507,0,1333,0,0,0,0,0,0,0,0,0,0,0,107,0,1,0,0,1,0,0,162,0,5518,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013,1,8,40991,157,3717,841,3259,971,22520,1399,142901,3449,8,1451,49853,3,4,1,4034,1530,171,17,1,176,723,43,36,17,34,5582,4625,172,4887,686,0,80,230,2142,1202,1704,573,38,3,113,17609,62,15,29,1020,507,204,263,577,17,37,428,116,27,147,19299,15,28,5838,206,33,56,88,4,1,114,388,39,4,5,4212,18,359,11659,18,89,57,1,12,30,1,273,121,0,1375,672,101,37,815,2,819,2648,186,515,11,49,2,168,210,12,329,37,60,717,72,0,6,11188,3,960,202,8,4442,24,94,7,25,0,5,5,29,10,12,2,2,1,30,10,2,1,53,3,19,20,15,6,12,1,1,17,17,13,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013,1,9,578067,1454,79921,12920,106148,34488,228947,23161,1996523,60131,923,66448,460760,527,55,1,64836,26263,2816,1129,282,4799,12175,577,751,300,840,72024,62472,4658,76109,8576,25,1955,4052,28470,17723,18855,10325,1322,79,2612,184889,281,127,326,18632,6597,4393,2534,10288,266,684,5483,2259,179,15696,457015,397,977,117634,4535,2441,4137,849,276,273,4715,6491,548,77,493,161415,313,3306,181890,962,1630,591,304,753,498,16,4494,2226,15,23486,7713,3228,1813,12541,41,11520,84455,2983,5786,394,984,4,1175,2434,285,16822,587,463,8780,2209,5,639,192699,674,12136,1981,484,48110,1504,525,303,537,0,160,278,386,224,343,129,20,8,579,210,32,20,490,6,326,55,548,167,302,7,6,109,196,665,252,486,2,7,18,3,1,5,27,5,73,4,83,18,17,5,5,12,0,0
9,2013,1,10,474975,1206,60946,10803,91534,30851,161746,18414,1646418,46136,980,63218,311322,334,81,0,51636,22951,2262,1058,299,3831,8984,526,793,304,643,56479,53105,4639,61413,8331,17,1820,3668,24833,14096,12735,9036,1030,125,2180,130149,223,193,293,15148,5476,3634,1597,8845,172,363,4225,1700,154,14650,422781,291,701,105936,2867,2158,4271,580,283,197,4257,4254,417,97,378,162546,150,2329,148448,1265,1437,542,160,631,321,7,3649,1808,3,16701,5756,2749,1907,10790,55,10015,76705,2708,3819,437,900,21,620,1898,248,14191,368,384,6941,1838,2,429,156062,632,9156,1620,398,44886,1346,335,220,562,0,124,220,482,160,388,93,17,4,503,131,46,3,451,6,285,56,370,159,251,4,15,129,82,514,181,308,2,5,9,4,0,7,30,0,97,1,51,21,12,0,2,12,6,0
