,Cook,Harris,Los Angeles,New York,Orange
2020_1_01,0.6228518089381843,0.5920047248011624,0.6266165723131913,0.6584279284552844,0.6427279578750775
2020_1_02,0.5756626211840103,0.546694595790681,0.5840498929056799,0.6049765364159791,0.6003373509355234
2020_1_03,0.5602895349818757,0.5425999516849815,0.5695923766413897,0.5894986092805403,0.5775982242626935
2020_1_04,0.5721857078092382,0.5468027228492869,0.5714529422193291,0.6032998238322451,0.5817718672760283
2020_1_05,0.5643548577611357,0.5375514385341619,0.564604671287351,0.5896281733539707,0.5728566035546501
2020_1_06,0.5703799293939391,0.5448728325438837,0.5758388294104662,0.6051132125080719,0.5820276917399594
2020_1_07,0.5676027906920429,0.5457148193735768,0.5727017512701053,0.5920938777175262,0.578631247986637
2020_1_08,0.5684576925217222,0.5410332246694294,0.5707323817795817,0.5941724292401012,0.5813245695454545
2020_1_09,0.5657619946453778,0.5428198315520698,0.5679357924450207,0.5972014580670533,0.5789422179451981
2020_1_10,0.5742163398668804,0.5479205896618423,0.5744778121612186,0.601791255022266,0.5851460886363635
2020_1_11,0.5776817958470696,0.5467057517778275,0.5797973333840383,0.603614397355963,0.5845449385160237
2020_1_12,0.5670927229848639,0.5407058976754564,0.5724280916584231,0.6008705932868605,0.5846515806913845
2020_1_13,0.5677927439768375,0.5396364127527662,0.574490904983646,0.598815563590392,0.5793297053344624
2020_1_14,0.5763153184993404,0.5560411004929183,0.5728583937635827,0.6011685813533545,0.5877935281377697
2020_1_15,0.572253823505956,0.556173038638487,0.5738499653774335,0.5960722656062144,0.5830650707170161
2020_1_16,0.5748288371078427,0.5588432606235281,0.5742323610858932,0.601813575692672,0.5892612522176686
2020_1_17,0.5737110745665552,0.5621529907637263,0.5764925898877391,0.6010694870907901,0.5994568033577959
2020_1_18,0.5755959359136094,0.5555606224335242,0.5776464166469839,0.5978065621463982,0.605397262786596
2020_1_19,0.5759893033497185,0.5477571201411991,0.5766177692780026,0.6026185366639804,0.6019530577708178
2020_1_20,0.5772995816162498,0.5451731307910491,0.5772045149417702,0.5999748634561912,0.5923507532444547
2020_1_21,0.5708078864613358,0.5433544715749491,0.5693541227506653,0.590419335065954,0.5779113348546016
2020_1_22,0.5791248807370836,0.5443091423789506,0.5623339015468566,0.5950492348805808,0.5821992164232966
2020_1_23,0.5807978001918925,0.5509640700277919,0.57708783075352,0.6004565826666046,0.5888910790187717
2020_1_24,0.5796888362402636,0.5486826756674525,0.5801751638621303,0.5991023402543351,0.6005904779172981
2020_1_25,0.5838719238925419,0.5651002014348309,0.5829776256363051,0.5995359809177143,0.5985823590033974
2020_1_26,0.5387736209640398,0.5061646365602622,0.515691954761866,0.5650881652906876,0.5382549687984397
2020_1_27,0.555823284099177,0.5290718271109324,0.546090857996404,0.5821160990755625,0.5475978118886381
2020_1_28,0.5702602156475297,0.5427135557213926,0.565031937490927,0.5934111119640787,0.5763588447257383
2020_1_29,0.5748476919078676,0.5482348357232295,0.5717949158365004,0.5998628469406905,0.5819000378720568
2020_1_30,0.5744491829292824,0.5504437599005931,0.5741746491336626,0.5956652052852076,0.5854272160009101
2020_1_31,0.5674089000953739,0.5575849677344743,0.5739866558857903,0.5923424939704821,0.5860901856391343
