,New York,Cook,Harris,Los Angeles,Orange
2020_9_01,0.5884016731486412,0.5811852652146058,0.5597287497714388,0.5829430297288305,0.5915406805191016
2020_9_02,0.5904041445199951,0.5797458924904366,0.5567440465743881,0.5803798597306891,0.5907067639653817
2020_9_03,0.5882299721070092,0.571499658130261,0.5554688669212687,0.5683153167453164,0.5808912959508642
2020_9_04,0.5890346310591552,0.5812878745270034,0.553554810732113,0.5758418099511934,0.5835554886328244
2020_9_05,0.5810539395405078,0.5709806210092686,0.548306743354943,0.5647260215853852,0.5760841708898762
2020_9_06,0.5966636460411471,0.57699063814701,0.5577052614624506,0.56744823340231,0.5812546271305817
2020_9_07,0.5866011870641061,0.5682558368239192,0.5452535234007198,0.5599180189171553,0.5772173572360906
2020_9_08,0.5862060572095089,0.5706990092304793,0.5407358060478908,0.5670164814365699,0.5825262657408496
2020_9_09,0.589881482360699,0.5742287496922056,0.5455053847748106,0.5630128140676531,0.5805650341538098
2020_9_10,0.575756316787732,0.5666727196242387,0.5356596684022127,0.5539047081469429,0.5670677970253717
2020_9_11,0.5849538382916832,0.5631274170604479,0.5366430009500738,0.5615141988394393,0.5741942750905941
2020_9_12,0.5932650602691634,0.5722469677244663,0.5477377982109227,0.5581828338921948,0.5652708658188055
2020_9_13,0.5951761959420288,0.5706898743516459,0.5414242252581928,0.5626898895198552,0.5693390816053508
2020_9_14,0.5962633176804042,0.570735812661242,0.5444461956047381,0.5694601064526686,0.5746417166666665
2020_9_15,0.5834243861802878,0.5656780444702241,0.5431471411764707,0.5607961330109367,0.5678669084403964
2020_9_16,0.5940028049889017,0.5632160244130575,0.5485919877844309,0.5705954116951218,0.578724624325342
2020_9_17,0.5896015425531914,0.5735213797971408,0.546088413574266,0.5743723109591923,0.579595210078639
2020_9_18,0.5898287852233673,0.5802899861320279,0.5525425690914543,0.5766129059520193,0.58334049191385
2020_9_19,0.5797719930026434,0.5728950825570186,0.5508392303991247,0.5387051166586471,0.5753718338666847
2020_9_20,0.5858316130630217,0.5696373791563933,0.5431874060220993,0.5716830290793746,0.5823407160544107
2020_9_21,0.5978969574629124,0.5766424473175608,0.5421257761005654,0.5726614264327868,0.5813506778979903
2020_9_22,0.5921965430611335,0.5787703716791495,0.5360790469438323,0.5713309550051892,0.5801109082844924
2020_9_23,0.5894762168292128,0.565458497633495,0.5433386827059824,0.5658935942406577,0.5745730952161913
2020_9_24,0.5870308052839761,0.5714662694506283,0.5457347927531153,0.5676000520686264,0.5807708480245553
2020_9_25,0.5973281723262928,0.5755826294264641,0.5509092390462988,0.5725341708252919,0.5820141715954457
2020_9_26,0.5956842596609002,0.5806678282667724,0.5514013969373802,0.5774838070733624,0.586608677114042
2020_9_27,0.5850640798055677,0.5704997253818098,0.5486613946074365,0.5662224072537597,0.5835616211642599
2020_9_28,0.5847592196445421,0.566124348780014,0.5442003678879642,0.5667388379218569,0.5834311788195767
2020_9_29,0.5909636753185465,0.5682484805280923,0.5479240452402002,0.5691128870339314,0.5835931492872636
2020_9_30,0.5640996200080213,0.5572868332461103,0.541889775339098,0.5560552155207305,0.5599447527905652
